"Geographic Area Name","Occupied (2021)","MoE"
"Kansas City city, Kansas","57,819","± 1,513"
"Lawrence city, Kansas","41,041","± 1,618"
"Olathe city, Kansas","53,285","± 2,202"
"Overland Park city, Kansas","82,593","± 2,221"
"Shawnee city, Kansas","27,114","± 1,726"
"Topeka city, Kansas","55,844","± 1,769"
"Wichita city, Kansas","156,668","± 3,020"
"Bowling Green city, Kentucky","28,947","± 1,596"
"Lexington-Fayette urban county, Kentucky","139,303","± 1,880"
"Louisville/Jefferson County metro government (balance), Kentucky","264,336","± 3,413"
"Baton Rouge city, Louisiana","87,440","± 3,619"
"Kenner city, Louisiana","25,267","± 2,356"
"Lafayette city, Louisiana","51,150","± 2,374"
"Lake Charles city, Louisiana","28,683","± 2,542"
"Metairie CDP, Louisiana","62,315","± 2,960"
"New Orleans city, Louisiana","158,827","± 2,670"
"Shreveport city, Louisiana","76,167","± 2,438"
"Portland city, Maine","32,523","± 1,622"
"Baltimore city, Maryland","254,370","± 3,581"
"Bethesda CDP, Maryland","27,748","± 1,683"
"Columbia CDP, Maryland","42,050","± 2,010"
"Ellicott City CDP, Maryland","27,318","± 1,632"
"Frederick city, Maryland","33,907","± 1,622"
"Gaithersburg city, Maryland","26,764","± 1,764"
"Germantown CDP, Maryland","30,985","± 2,287"
"Glen Burnie CDP, Maryland","27,700","± 2,338"
"Rockville city, Maryland","25,537","± 1,915"
"Silver Spring CDP, Maryland","33,307","± 2,306"
"Waldorf CDP, Maryland","29,701","± 1,762"
"Boston city, Massachusetts","271,941","± 4,553"
"Brockton city, Massachusetts","37,554","± 1,753"
"Cambridge city, Massachusetts","52,487","± 2,335"
"Fall River city, Massachusetts","40,521","± 1,666"
"Framingham city, Massachusetts","26,320","± 1,503"
"Haverhill city, Massachusetts","25,293","± 1,564"
"Lawrence city, Massachusetts","30,366","± 1,840"
"Lowell city, Massachusetts","42,577","± 2,528"
"Lynn city, Massachusetts","37,304","± 2,119"
"Malden city, Massachusetts","26,386","± 2,034"
"New Bedford city, Massachusetts","42,743","± 2,324"
"Newton city, Massachusetts","29,961","± 1,245"
"Quincy city, Massachusetts","44,051","± 1,993"
"Somerville city, Massachusetts","35,015","± 1,707"
"Springfield city, Massachusetts","57,806","± 2,206"
"Worcester city, Massachusetts","76,065","± 2,991"
"Ann Arbor city, Michigan","51,238","± 2,366"
"Dearborn city, Michigan","35,209","± 1,820"
"Detroit city, Michigan","251,729","± 4,285"
"Farmington Hills city, Michigan","35,224","± 1,980"
"Flint city, Michigan","32,837","± 2,220"
"Grand Rapids city, Michigan","79,486","± 2,508"
"Kalamazoo city, Michigan","29,853","± 2,213"
"Lansing city, Michigan","50,590","± 1,859"
"Livonia city, Michigan","38,329","± 2,098"
"Novi city, Michigan","28,217","± 1,559"
"Rochester Hills city, Michigan","28,831","± 1,269"
"Southfield city, Michigan","35,649","± 1,972"
"Sterling Heights city, Michigan","51,805","± 2,112"
"Troy city, Michigan","33,822","± 1,625"
"Warren city, Michigan","57,632","± 2,315"
"Westland city, Michigan","37,870","± 2,495"
"Wyoming city, Michigan","28,253","± 2,186"
"Blaine city, Minnesota","25,869","± 1,539"
"Bloomington city, Minnesota","38,725","± 1,897"
"Brooklyn Park city, Minnesota","30,074","± 2,071"
"Duluth city, Minnesota","36,310","± 1,852"
"Eagan city, Minnesota","27,069","± 1,328"
"Lakeville city, Minnesota","23,868","± 1,465"
"Maple Grove city, Minnesota","28,026","± 1,573"
"Minneapolis city, Minnesota","188,681","± 3,928"
"Plymouth city, Minnesota","32,923","± 1,479"
"Rochester city, Minnesota","49,984","± 1,425"
"St. Cloud city, Minnesota","30,029","± 1,985"
"St. Paul city, Minnesota","121,964","± 3,257"
"Woodbury city, Minnesota","28,751","± 1,605"
"Gulfport city, Mississippi","29,385","± 1,674"
"Jackson city, Mississippi","62,140","± 2,120"
"Columbia city, Missouri","50,572","± 2,224"
"Independence city, Missouri","53,057","± 2,481"
"Kansas City city, Missouri","219,020","± 3,767"
"Lee's Summit city, Missouri","37,795","± 1,871"
"O'Fallon city, Missouri","34,412","± 1,466"
"St. Charles city, Missouri","29,992","± 1,332"
"St. Joseph city, Missouri","29,750","± 1,639"
"St. Louis city, Missouri","139,736","± 2,863"
"Springfield city, Missouri","79,232","± 1,916"
"Billings city, Montana","50,365","± 1,518"
"Missoula city, Montana","33,744","± 1,332"
"Lincoln city, Nebraska","120,407","± 1,708"
"Omaha city, Nebraska","201,469","± 2,293"
"Enterprise CDP, Nevada","83,983","± 3,971"
"Henderson city, Nevada","124,470","± 3,117"
"Las Vegas city, Nevada","250,350","± 5,195"
"North Las Vegas city, Nevada","85,966","± 3,596"
"Paradise CDP, Nevada","78,005","± 3,685"
"Reno city, Nevada","110,993","± 2,468"
"Sparks city, Nevada","43,392","± 2,224"
"Spring Valley CDP, Nevada","88,063","± 3,751"
"Sunrise Manor CDP, Nevada","62,737","± 2,868"
"Manchester city, New Hampshire","48,649","± 2,196"
"Nashua city, New Hampshire","36,986","± 1,692"
"Bayonne city, New Jersey","28,375","± 1,836"
"Camden city, New Jersey","24,276","± 1,947"
"Clifton city, New Jersey","32,408","± 2,260"
"East Orange city, New Jersey","28,318","± 1,853"
"Elizabeth city, New Jersey","46,107","± 2,059"
"Jersey City city, New Jersey","119,158","± 3,269"
"Lakewood CDP, New Jersey","13,701","± 2,032"
"Newark city, New Jersey","115,145","± 3,722"
"Passaic city, New Jersey","20,446","± 1,258"
"Paterson city, New Jersey","51,612","± 2,208"
"Toms River CDP, New Jersey","35,128","± 2,522"
"Trenton city, New Jersey","34,116","± 2,347"
"Union City city, New Jersey","24,041","± 1,747"
"Albuquerque city, New Mexico","243,582","± 2,744"
"Las Cruces city, New Mexico","45,991","± 2,359"
"Rio Rancho city, New Mexico","40,013","± 1,085"
"Santa Fe city, New Mexico","40,641","± 1,542"
"Albany city, New York","44,279","± 2,638"
"Buffalo city, New York","122,569","± 3,241"
"Cheektowaga CDP, New York","33,247","± 1,785"
"Mount Vernon city, New York","26,465","± 1,709"
"New Rochelle city, New York","32,877","± 2,149"
"New York city, New York","3,263,895","± 13,490"
"Rochester city, New York","93,263","± 3,427"
"Schenectady city, New York","28,965","± 1,690"
"Syracuse city, New York","62,663","± 2,304"
"Yonkers city, New York","81,397","± 3,240"
"Asheville city, North Carolina","38,131","± 2,492"
"Cary town, North Carolina","65,254","± 2,540"
"Charlotte city, North Carolina","365,269","± 4,087"
"Concord city, North Carolina","33,859","± 2,004"
"Durham city, North Carolina","122,412","± 2,774"
"Fayetteville city, North Carolina","83,147","± 1,934"
"Gastonia city, North Carolina","33,292","± 1,792"
"Greensboro city, North Carolina","123,955","± 3,924"
"Greenville city, North Carolina","41,575","± 2,191"
"High Point city, North Carolina","42,738","± 2,230"
"Jacksonville city, North Carolina","22,024","± 1,853"
"Raleigh city, North Carolina","194,917","± 4,618"
"Wilmington city, North Carolina","59,341","± 2,415"
"Winston-Salem city, North Carolina","101,551","± 2,991"
"Bismarck city, North Dakota","31,426","± 1,267"
"Fargo city, North Dakota","58,269","± 1,737"
"Akron city, Ohio","84,914","± 2,749"
"Canton city, Ohio","31,168","± 1,849"
"Cincinnati city, Ohio","144,929","± 3,676"
"Cleveland city, Ohio","171,321","± 4,585"
"Columbus city, Ohio","390,605","± 5,416"
"Dayton city, Ohio","55,114","± 2,498"
"Lorain city, Ohio","27,852","± 1,680"
"Parma city, Ohio","33,401","± 1,775"
"Toledo city, Ohio","120,895","± 2,758"
"Broken Arrow city, Oklahoma","45,138","± 1,523"
"Edmond city, Oklahoma","36,530","± 1,464"
"Lawton city, Oklahoma","33,921","± 1,527"
"Norman city, Oklahoma","53,446","± 2,093"
"Oklahoma City city, Oklahoma","275,285","± 4,662"
"Tulsa city, Oklahoma","173,943","± 2,212"
"Beaverton city, Oregon","42,858","± 2,340"
"Bend city, Oregon","44,620","± 2,312"
"Eugene city, Oregon","74,740","± 2,581"
"Gresham city, Oregon","43,487","± 2,290"
"Hillsboro city, Oregon","40,891","± 2,216"
"Medford city, Oregon","36,525","± 1,614"
"Portland city, Oregon","286,734","± 4,101"
"Salem city, Oregon","64,959","± 2,410"
"Allentown city, Pennsylvania","47,204","± 2,375"
"Bethlehem city, Pennsylvania","30,099","± 1,739"
"Erie city, Pennsylvania","38,636","± 1,907"
"Philadelphia city, Pennsylvania","660,921","± 5,390"
"Pittsburgh city, Pennsylvania","136,747","± 4,641"
"Reading city, Pennsylvania","32,504","± 1,714"
"Scranton city, Pennsylvania","30,096","± 1,704"
"Cranston city, Rhode Island","33,049","± 2,340"
"Pawtucket city, Rhode Island","29,735","± 1,874"
"Providence city, Rhode Island","68,179","± 2,955"
"Warwick city, Rhode Island","36,595","± 1,691"
"Charleston city, South Carolina","63,391","± 3,233"
"Columbia city, South Carolina","51,455","± 2,642"
"Greenville city, South Carolina","34,154","± 1,966"
"Mount Pleasant town, South Carolina","37,983","± 2,042"
"North Charleston city, South Carolina","47,324","± 2,921"
"Rock Hill city, South Carolina","29,268","± 1,737"
"Rapid City city, South Dakota","32,471","± 1,191"
"Sioux Falls city, South Dakota","83,498","± 1,744"
"Chattanooga city, Tennessee","77,299","± 2,453"
"Clarksville city, Tennessee","63,787","± 2,246"
"Franklin city, Tennessee","33,275","± 1,690"
"Jackson city, Tennessee","26,505","± 1,483"
"Johnson City city, Tennessee","30,806","± 2,284"
"Knoxville city, Tennessee","85,151","± 2,689"
"Memphis city, Tennessee","256,968","± 4,780"
"Murfreesboro city, Tennessee","58,371","± 2,651"
"Nashville-Davidson metropolitan government (balance), Tennessee","305,247","± 3,646"
"Abilene city, Texas","48,398","± 1,816"
"Allen city, Texas","37,461","± 2,204"
"Amarillo city, Texas","82,129","± 2,459"
"Arlington city, Texas","146,888","± 4,942"
"Atascocita CDP, Texas","29,579","± 4,887"
"Austin city, Texas","449,399","± 7,214"
"Baytown city, Texas","28,264","± 2,128"
"Beaumont city, Texas","46,375","± 2,183"
"Brownsville city, Texas","56,522","± 2,324"
"Bryan city, Texas","32,910","± 2,415"
"Carrollton city, Texas","50,308","± 2,016"
"Cedar Park city, Texas","30,407","± 2,195"
"College Station city, Texas","41,586","± 2,579"
"Conroe city, Texas","37,297","± 3,154"
"Corpus Christi city, Texas","117,366","± 2,957"
"Dallas city, Texas","536,008","± 8,007"
"Denton city, Texas","57,963","± 2,931"
"Edinburg city, Texas","37,541","± 3,033"
"El Paso city, Texas","242,529","± 3,601"
"Flower Mound town, Texas","27,696","± 1,481"
"Fort Worth city, Texas","334,286","± 6,559"
"Frisco city, Texas","72,282","± 2,480"
"Garland city, Texas","77,777","± 3,207"
"Georgetown city, Texas","30,207","± 1,786"
"Grand Prairie city, Texas","64,208","± 2,780"
"Harlingen city, Texas","27,051","± 2,254"
"Houston city, Texas","924,981","± 9,366"
"Irving city, Texas","95,309","± 3,542"
"Killeen city, Texas","57,875","± 2,557"
"Laredo city, Texas","76,095","± 1,458"
"League City city, Texas","44,419","± 2,237"
"Leander city, Texas","24,031","± 1,932"
"Lewisville city, Texas","46,897","± 2,470"
"Longview city, Texas","31,072","± 1,776"
"Lubbock city, Texas","104,426","± 2,682"
"McAllen city, Texas","48,438","± 2,639"
"McKinney city, Texas","73,357","± 3,110"
"Mansfield city, Texas","25,327","± 2,001"
"Mesquite city, Texas","52,023","± 2,843"
"Midland city, Texas","52,898","± 2,487"
"Mission city, Texas","28,128","± 2,129"
"Missouri City city, Texas","29,801","± 2,397"
"New Braunfels city, Texas","37,815","± 2,334"
"North Richland Hills city, Texas","26,937","± 1,658"
"Odessa city, Texas","48,530","± 2,487"
"Pasadena city, Texas","50,598","± 2,925"
"Pearland city, Texas","43,012","± 2,703"
"Pflugerville city, Texas","23,875","± 3,098"
"Pharr city, Texas","24,797","± 2,079"
"Plano city, Texas","108,472","± 3,456"
"Richardson city, Texas","45,148","± 2,344"
"Round Rock city, Texas","49,740","± 2,773"
"San Angelo city, Texas","39,065","± 1,975"
"San Antonio city, Texas","549,245","± 5,787"
"San Marcos city, Texas","27,015","± 2,268"
"Spring CDP, Texas","23,096","± 3,384"
"Sugar Land city, Texas","37,008","± 2,151"
"Temple city, Texas","34,371","± 2,218"
"The Woodlands CDP, Texas","43,992","± 3,951"
"Tyler city, Texas","36,169","± 2,114"
"Victoria city, Texas","25,410","± 1,370"
"Waco city, Texas","53,286","± 2,095"
"Wichita Falls city, Texas","38,051","± 1,780"
"Layton city, Utah","27,176","± 1,473"
"Lehi city, Utah","22,067","± 1,270"
"Ogden city, Utah","32,631","± 1,913"
"Orem city, Utah","32,398","± 1,405"
"Provo city, Utah","32,518","± 1,634"
"St. George city, Utah","35,656","± 2,027"
"Salt Lake City city, Utah","89,839","± 3,408"
"Sandy city, Utah","33,587","± 1,989"
"South Jordan city, Utah","25,502","± 1,878"
"West Jordan city, Utah","36,309","± 1,750"
"West Valley City city, Utah","42,003","± 2,068"
"Alexandria city, Virginia","72,024","± 2,137"
"Arlington CDP, Virginia","108,396","± 2,209"
"Centreville CDP, Virginia","24,957","± 1,781"
"Chesapeake city, Virginia","93,849","± 1,160"
"Dale City CDP, Virginia","22,465","± 1,708"
"Hampton city, Virginia","58,181","± 1,422"
"Lynchburg city, Virginia","28,346","± 1,501"
"Newport News city, Virginia","77,489","± 1,658"
"Norfolk city, Virginia","97,596","± 2,128"
"Portsmouth city, Virginia","40,827","± 1,082"
"Richmond city, Virginia","99,929","± 2,577"
"Roanoke city, Virginia","42,455","± 1,881"
"Suffolk city, Virginia","37,383","± 994"
"Virginia Beach city, Virginia","182,775","± 1,901"
"Auburn city, Washington","31,836","± 1,969"
"Bellevue city, Washington","61,440","± 2,726"
"Bellingham city, Washington","40,653","± 1,760"
"Everett city, Washington","45,029","± 2,222"
"Federal Way city, Washington","35,047","± 2,058"
"Kennewick city, Washington","30,679","± 1,876"
"Kent city, Washington","46,036","± 2,026"
"Kirkland city, Washington","37,746","± 1,704"
"Marysville city, Washington","25,906","± 1,415"
"Pasco city, Washington","25,084","± 999"
"Redmond city, Washington","31,181","± 1,760"
"Renton city, Washington","41,997","± 2,611"
"Sammamish city, Washington","22,090","± 981"
"Seattle city, Washington","351,650","± 5,277"
"South Hill CDP, Washington","22,379","± 2,176"
"Spokane city, Washington","94,748","± 2,708"
"Spokane Valley city, Washington","44,047","± 2,140"
"Tacoma city, Washington","88,819","± 2,434"
"Vancouver city, Washington","81,814","± 2,117"
"Yakima city, Washington","37,282","± 1,791"
"Appleton city, Wisconsin","29,204","± 1,585"
"Eau Claire city, Wisconsin","28,218","± 1,176"
"Green Bay city, Wisconsin","46,857","± 2,142"
"Janesville city, Wisconsin","28,236","± 1,361"
"Kenosha city, Wisconsin","38,438","± 1,579"
"Madison city, Wisconsin","123,938","± 3,150"
"Milwaukee city, Wisconsin","232,362","± 3,559"
"Oshkosh city, Wisconsin","28,532","± 1,537"
"Racine city, Wisconsin","30,885","± 1,222"
"Waukesha city, Wisconsin","31,139","± 1,320"
"Cheyenne city, Wyoming","28,727","± 1,210"
"Bayamón zona urbana, Puerto Rico","61,688","± 1,939"
"Caguas zona urbana, Puerto Rico","29,970","± 1,905"
"Carolina zona urbana, Puerto Rico","54,012","± 2,658"
"Guaynabo zona urbana, Puerto Rico","26,979","± 1,339"
"Ponce zona urbana, Puerto Rico","42,404","± 1,932"
"San Juan zona urbana, Puerto Rico","129,554","± 3,254"