"Geographic Area Name","Units Built (2024)","MoE"
"Sioux City city, Iowa","34,965","± 1,120"
"Waterloo city, Iowa","32,083","± 1,454"
"West Des Moines city, Iowa","36,235","± 2,234"
"Kansas City city, Kansas","63,903","± 1,217"
"Lawrence city, Kansas","43,511","± 1,027"
"Olathe city, Kansas","56,011","± 2,116"
"Overland Park city, Kansas","89,184","± 2,364"
"Shawnee city, Kansas","30,142","± 1,773"
"Topeka city, Kansas","60,213","± 1,439"
"Wichita city, Kansas","178,820","± 2,597"
"Bowling Green city, Kentucky","35,972","± 1,528"
"Lexington-Fayette urban county, Kentucky","151,485","± 180"
"Louisville/Jefferson County metro government (balance), Kentucky","295,381","± 2,259"
"Baton Rouge city, Louisiana","108,987","± 3,899"
"Kenner city, Louisiana","28,663","± 2,305"
"Lafayette city, Louisiana","61,395","± 1,981"
"Lake Charles city, Louisiana","42,813","± 2,527"
"Metairie CDP, Louisiana","66,195","± 3,388"
"New Orleans city, Louisiana","196,906","± 187"
"Shreveport city, Louisiana","89,174","± 2,393"
"Portland city, Maine","39,175","± 1,950"
"Baltimore city, Maryland","297,571","± 95"
"Bethesda CDP, Maryland","30,878","± 2,129"
"Columbia CDP, Maryland","42,337","± 2,800"
"Ellicott City CDP, Maryland","28,472","± 2,284"
"Frederick city, Maryland","36,720","± 1,911"
"Gaithersburg city, Maryland","28,620","± 2,734"
"Germantown CDP, Maryland","33,630","± 2,817"
"Glen Burnie CDP, Maryland","33,655","± 2,422"
"Rockville city, Maryland","27,944","± 1,704"
"Silver Spring CDP, Maryland","34,614","± 2,997"
"Waldorf CDP, Maryland","31,655","± 1,956"
"Boston city, Massachusetts","318,010","± 2,440"
"Brockton city, Massachusetts","37,692","± 1,939"
"Cambridge city, Massachusetts","57,127","± 2,490"
"Fall River city, Massachusetts","44,843","± 2,626"
"Framingham city, Massachusetts","29,370","± 2,050"
"Haverhill city, Massachusetts","29,200","± 1,984"
"Lawrence city, Massachusetts","33,714","± 2,251"
"Lowell city, Massachusetts","44,643","± 2,451"
"Lynn city, Massachusetts","36,792","± 2,828"
"Malden city, Massachusetts","26,417","± 2,287"
"New Bedford city, Massachusetts","42,508","± 2,134"
"Newton city, Massachusetts","36,671","± 2,240"
"Quincy city, Massachusetts","46,182","± 2,790"
"Somerville city, Massachusetts","36,498","± 1,973"
"Springfield city, Massachusetts","59,582","± 2,734"
"Waltham city, Massachusetts","26,038","± 2,294"
"Worcester city, Massachusetts","89,723","± 3,353"
"Ann Arbor city, Michigan","54,387","± 2,327"
"Dearborn city, Michigan","37,390","± 2,512"
"Detroit city, Michigan","343,649","± 4,619"
"Farmington Hills city, Michigan","36,896","± 2,272"
"Flint city, Michigan","44,226","± 2,088"
"Grand Rapids city, Michigan","84,949","± 2,996"
"Kalamazoo city, Michigan","32,160","± 2,136"
"Lansing city, Michigan","54,614","± 2,095"
"Livonia city, Michigan","39,717","± 2,034"
"Novi city, Michigan","28,809","± 2,097"
"Rochester Hills city, Michigan","30,961","± 1,659"
"Southfield city, Michigan","39,273","± 2,697"
"Sterling Heights city, Michigan","52,198","± 2,577"
"Troy city, Michigan","34,644","± 1,694"
"Warren city, Michigan","56,962","± 2,332"
"Westland city, Michigan","39,198","± 2,319"
"Wyoming city, Michigan","32,974","± 2,060"
"Blaine city, Minnesota","31,002","± 1,318"
"Bloomington city, Minnesota","40,313","± 2,473"
"Brooklyn Park city, Minnesota","30,682","± 2,313"
"Duluth city, Minnesota","41,325","± 1,447"
"Eagan city, Minnesota","28,814","± 1,651"
"Lakeville city, Minnesota","27,216","± 1,676"
"Maple Grove city, Minnesota","28,566","± 1,533"
"Minneapolis city, Minnesota","216,155","± 5,422"
"Plymouth city, Minnesota","33,300","± 1,829"
"Rochester city, Minnesota","56,179","± 1,155"
"St. Cloud city, Minnesota","29,831","± 1,946"
"St. Paul city, Minnesota","135,910","± 2,679"
"Woodbury city, Minnesota","32,796","± 1,560"
"Gulfport city, Mississippi","37,448","± 1,787"
"Jackson city, Mississippi","74,917","± 2,001"
"Columbia city, Missouri","56,162","± 1,568"
"Independence city, Missouri","57,699","± 3,268"
"Kansas City city, Missouri","246,544","± 4,500"
"Lee's Summit city, Missouri","43,187","± 2,255"
"O'Fallon city, Missouri","36,134","± 1,786"
"St. Charles city, Missouri","33,094","± 1,829"
"St. Joseph city, Missouri","33,505","± 844"
"St. Louis city, Missouri","174,694","± 155"
"Springfield city, Missouri","85,301","± 1,869"
"Billings city, Montana","55,694","± 1,585"
"Missoula city, Montana","40,204","± 1,188"
"Lincoln city, Nebraska","133,537","± 1,025"
"Omaha city, Nebraska","214,685","± 1,948"
"Enterprise CDP, Nevada","96,620","± 5,458"
"Henderson city, Nevada","149,552","± 4,937"
"Las Vegas city, Nevada","276,629","± 5,194"
"North Las Vegas city, Nevada","99,283","± 3,822"
"Paradise CDP, Nevada","90,891","± 4,854"
"Reno city, Nevada","131,752","± 2,833"
"Sparks city, Nevada","46,468","± 2,578"
"Spring Valley CDP, Nevada","97,499","± 5,268"
"Sunrise Manor CDP, Nevada","70,198","± 3,714"
"Manchester city, New Hampshire","51,403","± 2,333"
"Nashua city, New Hampshire","42,561","± 1,995"
"Bayonne city, New Jersey","32,569","± 2,243"
"Camden city, New Jersey","27,709","± 1,714"
"Clifton city, New Jersey","35,620","± 2,534"
"East Orange city, New Jersey","31,661","± 3,084"
"Elizabeth city, New Jersey","48,518","± 2,465"
"Jersey City city, New Jersey","139,835","± 4,132"
"Lakewood CDP, New Jersey","15,755","± 1,755"
"Newark city, New Jersey","118,991","± 3,983"
"Passaic city, New Jersey","22,676","± 1,727"
"Paterson city, New Jersey","51,363","± 2,348"
"Toms River CDP, New Jersey","41,095","± 2,873"
"Trenton city, New Jersey","31,821","± 1,963"
"Union City city, New Jersey","27,745","± 1,718"
"Albuquerque city, New Mexico","261,899","± 2,270"
"Las Cruces city, New Mexico","50,867","± 2,425"
"Rio Rancho city, New Mexico","43,647","± 1,086"
"Santa Fe city, New Mexico","49,662","± 1,636"
"Albany city, New York","52,788","± 2,342"
"Buffalo city, New York","136,533","± 3,087"
"Cheektowaga CDP, New York","34,762","± 2,149"
"Mount Vernon city, New York","27,180","± 2,357"
"New Rochelle city, New York","35,086","± 2,669"
"New York city, New York","3,737,632","± 4,113"
"Rochester city, New York","108,892","± 3,701"
"Schenectady city, New York","32,000","± 1,765"
"Syracuse city, New York","69,639","± 2,792"
"Yonkers city, New York","87,491","± 3,906"
"Apex town, North Carolina","29,338","± 1,642"
"Asheville city, North Carolina","54,967","± 2,534"
"Cary town, North Carolina","76,557","± 3,493"
"Charlotte city, North Carolina","415,975","± 3,566"
"Concord city, North Carolina","44,833","± 1,900"
"Durham city, North Carolina","146,201","± 1,622"
"Fayetteville city, North Carolina","93,506","± 2,054"
"Gastonia city, North Carolina","36,671","± 2,045"
"Greensboro city, North Carolina","139,194","± 3,547"
"Greenville city, North Carolina","47,780","± 1,749"
"High Point city, North Carolina","51,373","± 3,007"
"Huntersville town, North Carolina","27,017","± 1,645"
"Jacksonville city, North Carolina","25,860","± 1,726"
"Raleigh city, North Carolina","234,750","± 4,977"
"Wilmington city, North Carolina","67,186","± 2,162"
"Winston-Salem city, North Carolina","116,276","± 2,415"
"Bismarck city, North Dakota","35,757","± 1,067"
"Fargo city, North Dakota","67,310","± 1,667"
"Akron city, Ohio","94,725","± 2,533"
"Canton city, Ohio","32,425","± 2,110"
"Cincinnati city, Ohio","160,935","± 4,096"
"Cleveland city, Ohio","204,873","± 3,985"
"Columbus city, Ohio","436,552","± 4,960"
"Dayton city, Ohio","73,068","± 3,092"
"Lorain city, Ohio","31,527","± 1,764"
"Parma city, Ohio","34,643","± 1,894"
"Toledo city, Ohio","131,630","± 2,188"
"Broken Arrow city, Oklahoma","48,629","± 1,733"
"Edmond city, Oklahoma","41,692","± 2,057"
"Lawton city, Oklahoma","39,738","± 704"
"Norman city, Oklahoma","57,165","± 1,882"
"Oklahoma City city, Oklahoma","314,255","± 3,914"
"Tulsa city, Oklahoma","194,104","± 1,799"
"Beaverton city, Oregon","43,690","± 1,811"
"Bend city, Oregon","51,443","± 1,719"
"Eugene city, Oregon","82,143","± 2,431"
"Gresham city, Oregon","42,195","± 2,286"
"Hillsboro city, Oregon","46,379","± 2,343"
"Medford city, Oregon","38,961","± 1,859"
"Portland city, Oregon","315,899","± 2,758"
"Salem city, Oregon","72,661","± 2,893"
"Allentown city, Pennsylvania","47,980","± 2,152"
"Bethlehem city, Pennsylvania","32,460","± 2,323"
"Erie city, Pennsylvania","45,557","± 1,686"
"Philadelphia city, Pennsylvania","763,527","± 184"
"Pittsburgh city, Pennsylvania","167,913","± 5,190"
"Reading city, Pennsylvania","35,408","± 1,945"
"Scranton city, Pennsylvania","35,202","± 1,807"
"Cranston city, Rhode Island","33,284","± 2,411"
"Pawtucket city, Rhode Island","31,824","± 2,374"
"Providence city, Rhode Island","81,131","± 3,473"
"Warwick city, Rhode Island","36,715","± 1,647"
"Charleston city, South Carolina","80,579","± 4,370"
"Columbia city, South Carolina","64,975","± 3,078"
"Greenville city, South Carolina","38,636","± 2,340"
"Mount Pleasant town, South Carolina","42,710","± 1,964"
"North Charleston city, South Carolina","61,674","± 3,556"
"Rock Hill city, South Carolina","34,935","± 2,033"
"Rapid City city, South Dakota","37,216","± 1,246"
"Sioux Falls city, South Dakota","97,927","± 1,158"
"Chattanooga city, Tennessee","89,451","± 2,667"
"Clarksville city, Tennessee","76,694","± 1,465"
"Franklin city, Tennessee","37,964","± 1,860"
"Jackson city, Tennessee","29,084","± 1,034"
"Johnson City city, Tennessee","34,301","± 1,640"
"Knoxville city, Tennessee","99,290","± 2,805"
"Memphis city, Tennessee","291,759","± 3,489"
"Murfreesboro city, Tennessee","71,868","± 2,535"
"Nashville-Davidson metropolitan government (balance), Tennessee","369,824","± 1,165"
"Abilene city, Texas","55,160","± 1,341"
"Allen city, Texas","41,663","± 2,361"
"Amarillo city, Texas","87,454","± 2,116"
"Arlington city, Texas","158,894","± 4,795"
"Atascocita CDP, Texas","35,687","± 4,056"
"Austin city, Texas","518,574","± 7,242"
"Baytown city, Texas","34,763","± 2,317"
"Beaumont city, Texas","52,008","± 2,373"
"Brownsville city, Texas","68,583","± 2,258"
"Bryan city, Texas","38,062","± 1,766"
"Carrollton city, Texas","56,799","± 3,389"
"Cedar Park city, Texas","29,481","± 1,707"
"College Station city, Texas","55,151","± 1,858"
"Conroe city, Texas","49,157","± 2,915"
"Corpus Christi city, Texas","139,618","± 1,482"
"Dallas city, Texas","599,962","± 8,442"
"Denton city, Texas","63,538","± 3,000"
"Edinburg city, Texas","40,423","± 2,655"
"El Paso city, Texas","267,769","± 2,692"
"Flower Mound town, Texas","30,111","± 1,744"
"Fort Worth city, Texas","397,627","± 8,202"
"Frisco city, Texas","86,733","± 2,778"
"Garland city, Texas","86,420","± 3,869"
"Georgetown city, Texas","42,097","± 2,398"
"Grand Prairie city, Texas","71,787","± 3,894"
"Harlingen city, Texas","29,798","± 1,740"
"Houston city, Texas","1,070,556","± 9,665"
"Irving city, Texas","103,492","± 4,261"
"Killeen city, Texas","66,889","± 2,398"
"Laredo city, Texas","87,698","± 764"
"League City city, Texas","49,049","± 2,425"
"Leander city, Texas","30,656","± 1,690"
"Lewisville city, Texas","55,941","± 2,625"
"Longview city, Texas","36,026","± 1,441"
"Lubbock city, Texas","124,364","± 1,671"
"McAllen city, Texas","56,730","± 2,491"
"McKinney city, Texas","88,397","± 3,703"
"Mansfield city, Texas","32,209","± 2,346"
"Mesquite city, Texas","58,835","± 3,669"
"Midland city, Texas","57,725","± 1,486"
"Mission city, Texas","33,698","± 1,877"
"Missouri City city, Texas","29,265","± 1,989"
"New Braunfels city, Texas","51,612","± 2,593"
"North Richland Hills city, Texas","30,249","± 2,041"
"Odessa city, Texas","53,957","± 2,587"
"Pasadena city, Texas","51,693","± 2,750"
"Pearland city, Texas","49,496","± 2,988"
"Pflugerville city, Texas","26,096","± 1,894"
"Pharr city, Texas","27,224","± 1,952"
"Plano city, Texas","120,096","± 3,644"
"Richardson city, Texas","46,504","± 1,984"
"Round Rock city, Texas","55,692","± 2,657"
"Rowlett city, Texas","27,067","± 2,605"
"San Angelo city, Texas","44,513","± 1,246"
"San Antonio city, Texas","629,160","± 5,762"
"San Marcos city, Texas","31,896","± 1,904"
"Spring CDP, Texas","26,637","± 3,227"
"Sugar Land city, Texas","40,891","± 2,406"
"Temple city, Texas","39,824","± 2,281"
"The Woodlands CDP, Texas","52,565","± 3,469"
"Tyler city, Texas","45,971","± 2,082"
"Victoria city, Texas","31,143","± 842"
"Waco city, Texas","62,409","± 2,022"
"Wichita Falls city, Texas","43,762","± 1,106"
"Layton city, Utah","29,476","± 1,672"
"Lehi city, Utah","26,071","± 1,429"
"Ogden city, Utah","36,569","± 1,871"
"Orem city, Utah","32,175","± 1,606"
"Provo city, Utah","36,878","± 1,444"
"St. George city, Utah","44,385","± 1,971"
"Salt Lake City city, Utah","107,629","± 4,199"
"Sandy city, Utah","35,950","± 2,025"
"South Jordan city, Utah","25,959","± 1,744"
"West Jordan city, Utah","38,619","± 1,899"
"West Valley City city, Utah","42,751","± 2,485"
"Alexandria city, Virginia","81,544","± 39"
"Arlington CDP, Virginia","124,878","± 63"
"Centreville CDP, Virginia","24,582","± 2,079"
"Chesapeake city, Virginia","98,231","± 44"
"Dale City CDP, Virginia","22,012","± 2,023"
"Hampton city, Virginia","62,569","± 57"
"Lynchburg city, Virginia","34,496","± 37"
"Newport News city, Virginia","82,561","± 89"
"Norfolk city, Virginia","105,559","± 528"
"Portsmouth city, Virginia","43,313","± 46"
"Reston CDP, Virginia","32,204","± 2,467"
"Richmond city, Virginia","117,511","± 211"
"Roanoke city, Virginia","49,307","± 45"
"Suffolk city, Virginia","42,088","± 31"
"Virginia Beach city, Virginia","192,239","± 118"
"Auburn city, Washington","32,597","± 2,148"
"Bellevue city, Washington","69,039","± 2,694"
"Bellingham city, Washington","44,877","± 1,858"
"Everett city, Washington","48,847","± 2,786"
"Federal Way city, Washington","36,380","± 2,250"
"Kennewick city, Washington","35,463","± 2,107"
"Kent city, Washington","49,952","± 3,019"
"Kirkland city, Washington","41,910","± 2,502"
"Marysville city, Washington","26,235","± 1,827"
"Pasco city, Washington","27,294","± 1,056"
"Redmond city, Washington","38,240","± 2,245"
"Renton city, Washington","41,337","± 2,340"
"Sammamish city, Washington","21,331","± 973"
"Seattle city, Washington","411,671","± 6,112"
"Shoreline city, Washington","27,923","± 1,838"
"South Hill CDP, Washington","25,614","± 2,596"
"Spokane city, Washington","104,627","± 2,653"
"Spokane Valley city, Washington","46,217","± 1,962"
"Tacoma city, Washington","100,348","± 2,735"
"Vancouver city, Washington","89,916","± 2,601"
"Yakima city, Washington","39,468","± 1,829"
"Appleton city, Wisconsin","31,280","± 1,561"
"Eau Claire city, Wisconsin","33,563","± 1,067"
"Green Bay city, Wisconsin","44,341","± 1,936"
"Janesville city, Wisconsin","30,223","± 1,365"
"Kenosha city, Wisconsin","42,300","± 1,497"
"Madison city, Wisconsin","141,476","± 2,539"
"Milwaukee city, Wisconsin","260,386","± 4,016"
"Oshkosh city, Wisconsin","30,347","± 1,402"
"Racine city, Wisconsin","35,629","± 1,542"
"Waukesha city, Wisconsin","31,107","± 1,445"
"Cheyenne city, Wyoming","31,337","± 1,108"
"Bayamón zona urbana, Puerto Rico","81,144","± 1,798"
"Caguas zona urbana, Puerto Rico","38,750","± 1,918"
"Carolina zona urbana, Puerto Rico","72,721","± 1,750"
"Guaynabo zona urbana, Puerto Rico","31,935","± 1,443"
"Ponce zona urbana, Puerto Rico","57,739","± 2,035"
"San Juan zona urbana, Puerto Rico","191,180","± 2,933"