"Region","35 to 39 minutes","MoE"
"Abilene, TX Metro Area","664","± 206"
"Aguadilla, PR Metro Area","3,250","± 572"
"Akron, OH Metro Area","12,553","± 976"
"Albany, GA Metro Area","991","± 249"
"Albany, OR Metro Area","1,674","± 300"
"Albany-Schenectady-Troy, NY Metro Area","12,652","± 870"
"Albuquerque, NM Metro Area","9,734","± 873"
"Alexandria, LA Metro Area","861","± 240"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","11,625","± 797"
"Altoona, PA Metro Area","1,121","± 244"
"Amarillo, TX Metro Area","1,647","± 337"
"Ames, IA Metro Area","1,170","± 223"
"Amherst Town-Northampton, MA Metro Area","2,691","± 447"
"Anchorage, AK Metro Area","2,792","± 599"
"Ann Arbor, MI Metro Area","4,368","± 402"
"Anniston-Oxford, AL Metro Area","1,143","± 275"
"Appleton, WI Metro Area","3,773","± 452"
"Arecibo, PR Metro Area","1,879","± 414"
"Asheville, NC Metro Area","4,019","± 539"
"Athens-Clarke County, GA Metro Area","2,144","± 402"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","106,910","± 3,516"
"Atlantic City-Hammonton, NJ Metro Area","3,219","± 471"
"Auburn-Opelika, AL Metro Area","1,787","± 339"
"Augusta-Richmond County, GA-SC Metro Area","7,659","± 888"
"Austin-Round Rock-San Marcos, TX Metro Area","35,665","± 2,059"
"Bakersfield-Delano, CA Metro Area","4,657","± 595"
"Baltimore-Columbia-Towson, MD Metro Area","46,822","± 1,674"
"Bangor, ME Metro Area","1,534","± 281"
"Barnstable Town, MA Metro Area","2,294","± 456"
"Baton Rouge, LA Metro Area","11,106","± 981"
"Battle Creek, MI Metro Area","1,146","± 254"
"Bay City, MI Metro Area","1,694","± 296"
"Beaumont-Port Arthur, TX Metro Area","3,231","± 505"
"Beckley, WV Metro Area","798","± 224"
"Bellingham, WA Metro Area","2,019","± 401"
"Bend, OR Metro Area","2,756","± 538"
"Billings, MT Metro Area","1,112","± 235"
"Binghamton, NY Metro Area","1,536","± 232"
"Birmingham, AL Metro Area","19,936","± 1,335"
"Bismarck, ND Metro Area","513","± 157"
"Blacksburg-Christiansburg-Radford, VA Metro Area","1,613","± 288"
"Bloomington, IL Metro Area","1,421","± 293"
"Bloomington, IN Metro Area","1,667","± 272"
"Boise City, ID Metro Area","10,334","± 1,120"
"Boston-Cambridge-Newton, MA-NH Metro Area","83,489","± 2,251"
"Boulder, CO Metro Area","3,412","± 511"
"Bowling Green, KY Metro Area","2,037","± 401"
"Bozeman, MT Metro Area","446","± 163"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","2,767","± 492"
"Bridgeport-Stamford-Danbury, CT Metro Area","11,255","± 1,056"
"Brownsville-Harlingen, TX Metro Area","2,347","± 503"
"Brunswick-St. Simons, GA Metro Area","1,143","± 351"
"Buffalo-Cheektowaga, NY Metro Area","13,625","± 821"
"Burlington, NC Metro Area","2,968","± 485"
"Burlington-South Burlington, VT Metro Area","3,935","± 457"
"Canton-Massillon, OH Metro Area","6,329","± 613"
"Cape Coral-Fort Myers, FL Metro Area","10,662","± 1,009"
"Cape Girardeau, MO-IL Metro Area","1,214","± 322"
"Carson City, NV Metro Area","568","± 272"
"Casper, WY Metro Area","189","± 132"
"Cedar Rapids, IA Metro Area","2,931","± 412"
"Chambersburg, PA Metro Area","1,775","± 304"
"Champaign-Urbana, IL Metro Area","1,439","± 228"
"Charleston, WV Metro Area","1,725","± 380"
"Charleston-North Charleston, SC Metro Area","13,285","± 1,150"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","42,924","± 1,987"
"Charlottesville, VA Metro Area","3,125","± 455"
"Chattanooga, TN-GA Metro Area","7,733","± 792"
"Cheyenne, WY Metro Area","461","± 161"
"Chicago-Naperville-Elgin, IL-IN Metro Area","159,034","± 3,854"
"Chico, CA Metro Area","1,522","± 351"
"Cincinnati, OH-KY-IN Metro Area","41,599","± 1,793"
"Clarksville, TN-KY Metro Area","3,003","± 434"
"Cleveland, OH Metro Area","36,072","± 1,642"
"Cleveland, TN Metro Area","2,144","± 432"
"Coeur d'Alene, ID Metro Area","2,070","± 437"
"College Station-Bryan, TX Metro Area","1,311","± 326"
"Colorado Springs, CO Metro Area","8,326","± 871"
"Columbia, MO Metro Area","1,786","± 324"
"Columbia, SC Metro Area","12,443","± 1,120"
"Columbus, GA-AL Metro Area","2,423","± 598"
"Columbus, IN Metro Area","826","± 197"
"Columbus, OH Metro Area","33,194","± 1,600"
"Corpus Christi, TX Metro Area","2,595","± 429"
"Corvallis, OR Metro Area","531","± 143"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","3,916","± 500"
"Dallas-Fort Worth-Arlington, TX Metro Area","126,519","± 3,839"
"Dalton, GA Metro Area","1,414","± 320"
"Daphne-Fairhope-Foley, AL Metro Area","2,633","± 526"
"Davenport-Moline-Rock Island, IA-IL Metro Area","3,735","± 376"
"Dayton-Kettering-Beavercreek, OH Metro Area","9,388","± 787"
"Decatur, AL Metro Area","2,991","± 512"
"Decatur, IL Metro Area","381","± 122"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","7,979","± 928"
"Denver-Aurora-Centennial, CO Metro Area","54,015","± 2,016"
"Des Moines-West Des Moines, IA Metro Area","6,765","± 641"
"Detroit-Warren-Dearborn, MI Metro Area","74,425","± 1,963"
"Dothan, AL Metro Area","1,576","± 247"
"Dover, DE Metro Area","1,648","± 335"
"Dubuque, IA Metro Area","472","± 126"
"Duluth, MN-WI Metro Area","2,777","± 290"
"Durham-Chapel Hill, NC Metro Area","8,700","± 1,071"
"Eagle Pass, TX Metro Area","214","± 141"
"Eau Claire, WI Metro Area","1,410","± 210"
"El Centro, CA Metro Area","600","± 216"
"Elizabethtown, KY Metro Area","1,628","± 318"
"Elkhart-Goshen, IN Metro Area","2,713","± 496"
"Elmira, NY Metro Area","322","± 98"
"El Paso, TX Metro Area","8,319","± 912"
"Enid, OK Metro Area","367","± 157"
"Erie, PA Metro Area","2,335","± 358"
"Eugene-Springfield, OR Metro Area","2,928","± 450"
"Evansville, IN Metro Area","3,570","± 415"
"Fairbanks-College, AK Metro Area","257","± 120"
"Fargo, ND-MN Metro Area","1,022","± 163"
"Farmington, NM Metro Area","621","± 194"
"Fayetteville, NC Metro Area","4,091","± 431"
"Fayetteville-Springdale-Rogers, AR Metro Area","5,865","± 677"
"Flagstaff, AZ Metro Area","580","± 254"
"Flint, MI Metro Area","4,717","± 596"
"Florence, SC Metro Area","2,119","± 426"
"Florence-Muscle Shoals, AL Metro Area","1,366","± 393"
"Fond du Lac, WI Metro Area","1,325","± 272"
"Fort Collins-Loveland, CO Metro Area","3,577","± 513"
"Fort Smith, AR-OK Metro Area","1,778","± 285"
"Fort Wayne, IN Metro Area","4,529","± 518"
"Fresno, CA Metro Area","9,243","± 1,103"
"Gadsden, AL Metro Area","1,002","± 254"
"Gainesville, FL Metro Area","3,885","± 646"
"Gainesville, GA Metro Area","2,938","± 455"
"Gettysburg, PA Metro Area","1,919","± 356"
"Glens Falls, NY Metro Area","1,745","± 240"
"Goldsboro, NC Metro Area","1,065","± 273"
"Grand Forks, ND-MN Metro Area","952","± 246"
"Grand Island, NE Metro Area","541","± 161"
"Grand Junction, CO Metro Area","285","± 109"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","14,625","± 1,058"
"Grants Pass, OR Metro Area","455","± 149"
"Great Falls, MT Metro Area","475","± 141"
"Greeley, CO Metro Area","5,808","± 593"
"Green Bay, WI Metro Area","3,908","± 462"
"Greensboro-High Point, NC Metro Area","10,786","± 956"
"Greenville, NC Metro Area","1,332","± 271"
"Greenville-Anderson-Greer, SC Metro Area","14,499","± 1,002"
"Guayama, PR Metro Area","340","± 245"
"Gulfport-Biloxi, MS Metro Area","5,465","± 698"
"Hagerstown-Martinsburg, MD-WV Metro Area","3,896","± 617"
"Hammond, LA Metro Area","889","± 363"
"Hanford-Corcoran, CA Metro Area","2,026","± 419"
"Harrisburg-Carlisle, PA Metro Area","7,179","± 662"
"Harrisonburg, VA Metro Area","1,384","± 336"
"Hartford-West Hartford-East Hartford, CT Metro Area","18,227","± 1,107"
"Hattiesburg, MS Metro Area","1,637","± 372"
"Helena, MT Metro Area","727","± 211"
"Hickory-Lenoir-Morganton, NC Metro Area","4,968","± 630"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","2,536","± 639"
"Hinesville, GA Metro Area","852","± 269"
"Homosassa Springs, FL Metro Area","1,368","± 346"
"Hot Springs, AR Metro Area","589","± 215"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","1,974","± 409"
"Houston-Pasadena-The Woodlands, TX Metro Area","119,134","± 3,737"
"Huntington-Ashland, WV-KY-OH Metro Area","4,248","± 469"
"Huntsville, AL Metro Area","7,659","± 768"
"Idaho Falls, ID Metro Area","611","± 218"
"Indianapolis-Carmel-Greenwood, IN Metro Area","38,371","± 1,910"
"Iowa City, IA Metro Area","1,799","± 278"
"Ithaca, NY Metro Area","505","± 196"
"Jackson, MI Metro Area","1,568","± 301"
"Jackson, MS Metro Area","8,612","± 877"
"Jackson, TN Metro Area","1,842","± 386"
"Jacksonville, FL Metro Area","26,412","± 1,746"
"Jacksonville, NC Metro Area","1,772","± 517"
"Janesville-Beloit, WI Metro Area","2,668","± 346"
"Jefferson City, MO Metro Area","2,028","± 343"
"Johnson City, TN Metro Area","2,190","± 391"
"Johnstown, PA Metro Area","1,604","± 231"
"Jonesboro, AR Metro Area","981","± 245"
"Joplin, MO-KS Metro Area","1,490","± 316"
"Kahului-Wailuku, HI Metro Area","1,267","± 270"
"Kalamazoo-Portage, MI Metro Area","2,601","± 374"
"Kankakee, IL Metro Area","1,154","± 277"
"Kansas City, MO-KS Metro Area","32,312","± 1,501"
"Kennewick-Richland, WA Metro Area","1,882","± 328"
"Kenosha, WI Metro Area","2,711","± 404"
"Killeen-Temple, TX Metro Area","4,299","± 616"
"Kingsport-Bristol, TN-VA Metro Area","3,744","± 522"
"Kingston, NY Metro Area","2,140","± 405"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","8,577","± 739"
"Knoxville, TN Metro Area","14,906","± 1,095"
"Kokomo, IN Metro Area","859","± 279"
"La Crosse-Onalaska, WI-MN Metro Area","1,946","± 354"
"Lafayette, LA Metro Area","4,217","± 755"
"Lafayette-West Lafayette, IN Metro Area","1,934","± 327"
"Lake Charles, LA Metro Area","1,790","± 392"
"Lake Havasu City-Kingman, AZ Metro Area","840","± 308"
"Lakeland-Winter Haven, FL Metro Area","10,802","± 1,018"
"Lancaster, PA Metro Area","7,100","± 732"
"Lansing-East Lansing, MI Metro Area","3,950","± 465"
"Laredo, TX Metro Area","1,023","± 256"
"Las Cruces, NM Metro Area","1,784","± 448"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","32,533","± 1,721"
"Lawrence, KS Metro Area","1,786","± 326"
"Lawton, OK Metro Area","559","± 157"
"Lebanon, PA Metro Area","1,561","± 276"
"Lewiston, ID-WA Metro Area","177","± 78"
"Lewiston-Auburn, ME Metro Area","1,866","± 281"
"Lexington-Fayette, KY Metro Area","6,348","± 585"
"Lexington Park, MD Metro Area","2,952","± 508"
"Lima, OH Metro Area","900","± 191"
"Lincoln, NE Metro Area","2,059","± 274"
"Little Rock-North Little Rock-Conway, AR Metro Area","10,060","± 838"
"Logan, UT-ID Metro Area","839","± 223"
"Longview, TX Metro Area","3,730","± 604"
"Longview-Kelso, WA Metro Area","1,214","± 279"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","162,700","± 3,266"
"Louisville/Jefferson County, KY-IN Metro Area","19,961","± 1,579"
"Lubbock, TX Metro Area","1,540","± 296"
"Lynchburg, VA Metro Area","3,405","± 466"
"Macon-Bibb County, GA Metro Area","3,257","± 499"
"Madison, WI Metro Area","9,716","± 815"
"Manchester-Nashua, NH Metro Area","7,479","± 666"
"Manhattan, KS Metro Area","833","± 210"
"Mankato, MN Metro Area","746","± 140"
"Mansfield, OH Metro Area","918","± 206"
"Mayagüez, PR Metro Area","1,040","± 308"
"McAllen-Edinburg-Mission, TX Metro Area","5,486","± 785"
"Medford, OR Metro Area","1,672","± 448"
"Memphis, TN-MS-AR Metro Area","19,944","± 1,240"
"Merced, CA Metro Area","1,532","± 307"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","94,961","± 2,754"
"Michigan City-La Porte, IN Metro Area","1,538","± 321"
"Midland, MI Metro Area","1,089","± 223"
"Midland, TX Metro Area","1,650","± 448"
"Milwaukee-Waukesha, WI Metro Area","22,672","± 1,229"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","61,720","± 1,653"
"Minot, ND Metro Area","326","± 105"
"Missoula, MT Metro Area","649","± 158"
"Mobile, AL Metro Area","4,772","± 609"
"Modesto, CA Metro Area","4,849","± 698"
"Monroe, LA Metro Area","1,498","± 274"
"Monroe, MI Metro Area","3,113","± 437"
"Montgomery, AL Metro Area","5,750","± 722"
"Morgantown, WV Metro Area","1,423","± 284"
"Morristown, TN Metro Area","1,774","± 433"
"Mount Vernon-Anacortes, WA Metro Area","1,494","± 318"
"Muncie, IN Metro Area","1,213","± 219"
"Muskegon-Norton Shores, MI Metro Area","2,075","± 401"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","3,432","± 622"
"Napa, CA Metro Area","1,706","± 364"
"Naples-Marco Island, FL Metro Area","4,347","± 746"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","38,421","± 2,123"
"New Haven, CT Metro Area","5,918","± 639"
"New Orleans-Metairie, LA Metro Area","10,479","± 970"
"New York-Newark-Jersey City, NY-NJ Metro Area","274,838","± 5,052"
"Niles, MI Metro Area","1,335","± 246"
"North Port-Bradenton-Sarasota, FL Metro Area","9,457","± 918"
"Norwich-New London-Willimantic, CT Metro Area","3,654","± 612"
"Ocala, FL Metro Area","4,688","± 713"
"Odessa, TX Metro Area","778","± 297"
"Ogden, UT Metro Area","7,810","± 705"
"Oklahoma City, OK Metro Area","17,362","± 1,060"
"Olympia-Lacey-Tumwater, WA Metro Area","3,322","± 564"
"Omaha, NE-IA Metro Area","9,766","± 784"
"Orlando-Kissimmee-Sanford, FL Metro Area","49,236","± 2,372"
"Oshkosh-Neenah, WI Metro Area","1,540","± 287"
"Owensboro, KY Metro Area","1,571","± 388"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","7,838","± 830"
"Paducah, KY-IL Metro Area","932","± 206"
"Palm Bay-Melbourne-Titusville, FL Metro Area","8,165","± 978"
"Panama City-Panama City Beach, FL Metro Area","2,500","± 473"
"Parkersburg-Vienna, WV Metro Area","381","± 137"
"Pensacola-Ferry Pass-Brent, FL Metro Area","6,618","± 717"
"Peoria, IL Metro Area","3,595","± 465"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","98,277","± 2,849"
"Phoenix-Mesa-Chandler, AZ Metro Area","70,995","± 2,637"
"Pinehurst-Southern Pines, NC Metro Area","1,723","± 370"
"Pittsburgh, PA Metro Area","40,230","± 1,774"
"Pittsfield, MA Metro Area","1,345","± 295"
"Pocatello, ID Metro Area","265","± 101"
"Ponce, PR Metro Area","1,669","± 428"
"Portland-South Portland, ME Metro Area","9,051","± 618"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","35,887","± 1,443"
"Port St. Lucie, FL Metro Area","5,952","± 763"
"Prescott Valley-Prescott, AZ Metro Area","1,921","± 406"
"Providence-Warwick, RI-MA Metro Area","24,971","± 1,445"
"Provo-Orem-Lehi, UT Metro Area","8,587","± 779"
"Pueblo, CO Metro Area","1,186","± 257"
"Punta Gorda, FL Metro Area","1,642","± 318"
"Racine-Mount Pleasant, WI Metro Area","3,944","± 621"
"Raleigh-Cary, NC Metro Area","24,162","± 1,398"
"Rapid City, SD Metro Area","1,036","± 284"
"Reading, PA Metro Area","6,034","± 613"
"Redding, CA Metro Area","699","± 159"
"Reno, NV Metro Area","6,361","± 699"
"Richmond, VA Metro Area","21,356","± 1,225"
"Riverside-San Bernardino-Ontario, CA Metro Area","48,255","± 2,157"
"Roanoke, VA Metro Area","2,607","± 389"
"Rochester, MN Metro Area","2,045","± 248"
"Rochester, NY Metro Area","12,679","± 899"
"Rockford, IL Metro Area","2,682","± 433"
"Rocky Mount, NC Metro Area","1,650","± 303"
"Rome, GA Metro Area","1,059","± 339"
"Sacramento-Roseville-Folsom, CA Metro Area","29,755","± 1,339"
"Saginaw, MI Metro Area","1,643","± 251"
"St. Cloud, MN Metro Area","2,315","± 297"
"St. George, UT Metro Area","965","± 357"
"St. Joseph, MO-KS Metro Area","681","± 125"
"St. Louis, MO-IL Metro Area","49,647","± 2,323"
"Salem, OR Metro Area","4,570","± 568"
"Salinas, CA Metro Area","4,816","± 606"
"Salisbury, MD Metro Area","1,718","± 381"
"Salt Lake City-Murray, UT Metro Area","14,492","± 1,041"
"San Angelo, TX Metro Area","407","± 244"
"San Antonio-New Braunfels, TX Metro Area","33,423","± 1,887"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","46,142","± 1,869"
"Sandusky, OH Metro Area","1,412","± 255"
"San Francisco-Oakland-Fremont, CA Metro Area","62,522","± 2,165"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","22,452","± 1,241"
"San Juan-Bayamón-Caguas, PR Metro Area","16,564","± 1,086"
"San Luis Obispo-Paso Robles, CA Metro Area","2,792","± 360"
"Santa Cruz-Watsonville, CA Metro Area","2,519","± 381"
"Santa Fe, NM Metro Area","1,317","± 376"
"Santa Maria-Santa Barbara, CA Metro Area","2,840","± 448"
"Santa Rosa-Petaluma, CA Metro Area","4,478","± 483"
"Savannah, GA Metro Area","6,149","± 753"
"Scranton--Wilkes-Barre, PA Metro Area","5,266","± 474"
"Seattle-Tacoma-Bellevue, WA Metro Area","62,538","± 2,328"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","1,326","± 393"
"Sebring, FL Metro Area","587","± 198"
"Sheboygan, WI Metro Area","820","± 138"
"Sherman-Denison, TX Metro Area","1,945","± 480"
"Shreveport-Bossier City, LA Metro Area","3,301","± 550"
"Sierra Vista-Douglas, AZ Metro Area","1,175","± 309"
"Sioux City, IA-NE-SD Metro Area","1,026","± 160"
"Sioux Falls, SD-MN Metro Area","2,024","± 291"
"Slidell-Mandeville-Covington, LA Metro Area","3,653","± 509"
"South Bend-Mishawaka, IN-MI Metro Area","3,774","± 467"
"Spartanburg, SC Metro Area","5,141","± 677"
"Spokane-Spokane Valley, WA Metro Area","6,679","± 776"
"Springfield, IL Metro Area","1,442","± 320"
"Springfield, MA Metro Area","5,842","± 724"
"Springfield, MO Metro Area","5,240","± 558"
"Springfield, OH Metro Area","1,673","± 302"
"State College, PA Metro Area","1,433","± 289"
"Staunton-Stuarts Draft, VA Metro Area","2,336","± 446"
"Stockton-Lodi, CA Metro Area","5,832","± 727"
"Sumter, SC Metro Area","448","± 173"
"Syracuse, NY Metro Area","7,372","± 595"
"Tallahassee, FL Metro Area","4,087","± 576"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","46,461","± 2,178"
"Terre Haute, IN Metro Area","1,597","± 280"
"Texarkana, TX-AR Metro Area","1,274","± 284"
"Toledo, OH Metro Area","4,859","± 475"
"Topeka, KS Metro Area","1,959","± 285"
"Traverse City, MI Metro Area","2,100","± 245"
"Trenton-Princeton, NJ Metro Area","3,924","± 565"
"Tucson, AZ Metro Area","15,213","± 1,099"
"Tulsa, OK Metro Area","10,390","± 677"
"Tuscaloosa, AL Metro Area","3,487","± 607"
"Twin Falls, ID Metro Area","1,073","± 258"
"Tyler, TX Metro Area","1,967","± 396"
"Urban Honolulu, HI Metro Area","12,325","± 832"
"Utica-Rome, NY Metro Area","2,668","± 430"
"Valdosta, GA Metro Area","1,403","± 342"
"Vallejo, CA Metro Area","4,885","± 580"
"Victoria, TX Metro Area","992","± 351"
"Vineland, NJ Metro Area","1,551","± 305"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","25,853","± 1,275"
"Visalia, CA Metro Area","3,675","± 471"
"Waco, TX Metro Area","2,493","± 352"
"Walla Walla, WA Metro Area","350","± 138"
"Warner Robins, GA Metro Area","2,800","± 536"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","113,419","± 2,914"
"Waterbury-Shelton, CT Metro Area","8,867","± 867"
"Waterloo-Cedar Falls, IA Metro Area","964","± 187"
"Watertown-Fort Drum, NY Metro Area","1,092","± 241"
"Wausau, WI Metro Area","1,205","± 202"
"Weirton-Steubenville, WV-OH Metro Area","1,432","± 277"
"Wenatchee-East Wenatchee, WA Metro Area","811","± 228"
"Wheeling, WV-OH Metro Area","903","± 207"
"Wichita, KS Metro Area","5,494","± 630"
"Wichita Falls, TX Metro Area","370","± 97"
"Wildwood-The Villages, FL Metro Area","921","± 330"
"Williamsport, PA Metro Area","1,095","± 225"
"Wilmington, NC Metro Area","5,000","± 738"
"Winchester, VA-WV Metro Area","1,142","± 285"
"Winston-Salem, NC Metro Area","8,696","± 753"
"Worcester, MA Metro Area","14,731","± 919"
"Yakima, WA Metro Area","1,528","± 341"
"York-Hanover, PA Metro Area","6,559","± 579"
"Youngstown-Warren, OH Metro Area","4,467","± 522"
"Yuba City, CA Metro Area","2,300","± 406"
"Yuma, AZ Metro Area","1,437","± 411"