"Region","Management of companies and enterprises","MoE"
"Abilene, TX Metro Area","3","± 5"
"Aguadilla, PR Metro Area","23","± 38"
"Akron, OH Metro Area","249","± 136"
"Albany, GA Metro Area","0","± 34"
"Albany, OR Metro Area","0","± 31"
"Albany-Schenectady-Troy, NY Metro Area","148","± 82"
"Albuquerque, NM Metro Area","159","± 140"
"Alexandria, LA Metro Area","0","± 33"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","275","± 190"
"Altoona, PA Metro Area","0","± 27"
"Amarillo, TX Metro Area","18","± 19"
"Ames, IA Metro Area","72","± 61"
"Amherst Town-Northampton, MA Metro Area","77","± 55"
"Anchorage, AK Metro Area","177","± 82"
"Ann Arbor, MI Metro Area","127","± 114"
"Anniston-Oxford, AL Metro Area","7","± 12"
"Appleton, WI Metro Area","99","± 68"
"Arecibo, PR Metro Area","11","± 20"
"Asheville, NC Metro Area","15","± 25"
"Athens-Clarke County, GA Metro Area","1","± 3"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","3,646","± 611"
"Atlantic City-Hammonton, NJ Metro Area","31","± 42"
"Auburn-Opelika, AL Metro Area","0","± 31"
"Augusta-Richmond County, GA-SC Metro Area","40","± 47"
"Austin-Round Rock-San Marcos, TX Metro Area","1,055","± 323"
"Bakersfield-Delano, CA Metro Area","105","± 67"
"Baltimore-Columbia-Towson, MD Metro Area","690","± 225"
"Bangor, ME Metro Area","37","± 28"
"Barnstable Town, MA Metro Area","0","± 32"
"Baton Rouge, LA Metro Area","121","± 111"
"Battle Creek, MI Metro Area","16","± 17"
"Bay City, MI Metro Area","0","± 26"
"Beaumont-Port Arthur, TX Metro Area","109","± 78"
"Beckley, WV Metro Area","0","± 30"
"Bellingham, WA Metro Area","33","± 33"
"Bend, OR Metro Area","20","± 32"
"Billings, MT Metro Area","17","± 23"
"Binghamton, NY Metro Area","43","± 47"
"Birmingham, AL Metro Area","238","± 106"
"Bismarck, ND Metro Area","71","± 47"
"Blacksburg-Christiansburg-Radford, VA Metro Area","0","± 31"
"Bloomington, IL Metro Area","77","± 76"
"Bloomington, IN Metro Area","0","± 30"
"Boise City, ID Metro Area","42","± 38"
"Boston-Cambridge-Newton, MA-NH Metro Area","1,971","± 426"
"Boulder, CO Metro Area","132","± 104"
"Bowling Green, KY Metro Area","47","± 45"
"Bozeman, MT Metro Area","0","± 26"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","18","± 28"
"Bridgeport-Stamford-Danbury, CT Metro Area","346","± 109"
"Brownsville-Harlingen, TX Metro Area","29","± 37"
"Brunswick-St. Simons, GA Metro Area","80","± 86"
"Buffalo-Cheektowaga, NY Metro Area","356","± 140"
"Burlington, NC Metro Area","43","± 27"
"Burlington-South Burlington, VT Metro Area","31","± 29"
"Canton-Massillon, OH Metro Area","91","± 64"
"Cape Coral-Fort Myers, FL Metro Area","73","± 48"
"Cape Girardeau, MO-IL Metro Area","32","± 28"
"Carson City, NV Metro Area","0","± 33"
"Casper, WY Metro Area","7","± 12"
"Cedar Rapids, IA Metro Area","62","± 48"
"Chambersburg, PA Metro Area","14","± 21"
"Champaign-Urbana, IL Metro Area","8","± 14"
"Charleston, WV Metro Area","5","± 10"
"Charleston-North Charleston, SC Metro Area","105","± 86"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","849","± 199"
"Charlottesville, VA Metro Area","17","± 26"
"Chattanooga, TN-GA Metro Area","68","± 60"
"Cheyenne, WY Metro Area","0","± 30"
"Chicago-Naperville-Elgin, IL-IN Metro Area","3,881","± 492"
"Chico, CA Metro Area","0","± 32"
"Cincinnati, OH-KY-IN Metro Area","745","± 254"
"Clarksville, TN-KY Metro Area","14","± 20"
"Cleveland, OH Metro Area","583","± 240"
"Cleveland, TN Metro Area","0","± 32"
"Coeur d'Alene, ID Metro Area","0","± 29"
"College Station-Bryan, TX Metro Area","89","± 63"
"Colorado Springs, CO Metro Area","144","± 83"
"Columbia, MO Metro Area","3","± 5"
"Columbia, SC Metro Area","100","± 70"
"Columbus, GA-AL Metro Area","74","± 88"
"Columbus, IN Metro Area","39","± 45"
"Columbus, OH Metro Area","688","± 175"
"Corpus Christi, TX Metro Area","13","± 25"
"Corvallis, OR Metro Area","2","± 5"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","13","± 19"
"Dallas-Fort Worth-Arlington, TX Metro Area","3,575","± 720"
"Dalton, GA Metro Area","39","± 56"
"Daphne-Fairhope-Foley, AL Metro Area","154","± 151"
"Davenport-Moline-Rock Island, IA-IL Metro Area","110","± 68"
"Dayton-Kettering-Beavercreek, OH Metro Area","238","± 122"
"Decatur, AL Metro Area","0","± 31"
"Decatur, IL Metro Area","30","± 29"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","138","± 82"
"Denver-Aurora-Centennial, CO Metro Area","1,610","± 414"
"Des Moines-West Des Moines, IA Metro Area","168","± 114"
"Detroit-Warren-Dearborn, MI Metro Area","1,517","± 268"
"Dothan, AL Metro Area","0","± 31"
"Dover, DE Metro Area","22","± 30"
"Dubuque, IA Metro Area","34","± 33"
"Duluth, MN-WI Metro Area","9","± 13"
"Durham-Chapel Hill, NC Metro Area","113","± 74"
"Eagle Pass, TX Metro Area","0","± 35"
"Eau Claire, WI Metro Area","39","± 30"
"El Centro, CA Metro Area","10","± 16"
"Elizabethtown, KY Metro Area","0","± 30"
"Elkhart-Goshen, IN Metro Area","21","± 32"
"Elmira, NY Metro Area","17","± 22"
"El Paso, TX Metro Area","264","± 126"
"Enid, OK Metro Area","0","± 24"
"Erie, PA Metro Area","0","± 27"
"Eugene-Springfield, OR Metro Area","0","± 31"
"Evansville, IN Metro Area","21","± 32"
"Fairbanks-College, AK Metro Area","0","± 24"
"Fargo, ND-MN Metro Area","120","± 94"
"Farmington, NM Metro Area","0","± 31"
"Fayetteville, NC Metro Area","5","± 10"
"Fayetteville-Springdale-Rogers, AR Metro Area","563","± 217"
"Flagstaff, AZ Metro Area","6","± 9"
"Flint, MI Metro Area","171","± 92"
"Florence, SC Metro Area","0","± 33"
"Florence-Muscle Shoals, AL Metro Area","29","± 43"
"Fond du Lac, WI Metro Area","16","± 22"
"Fort Collins-Loveland, CO Metro Area","78","± 57"
"Fort Smith, AR-OK Metro Area","170","± 129"
"Fort Wayne, IN Metro Area","42","± 39"
"Fresno, CA Metro Area","43","± 44"
"Gadsden, AL Metro Area","0","± 31"
"Gainesville, FL Metro Area","20","± 36"
"Gainesville, GA Metro Area","51","± 44"
"Gettysburg, PA Metro Area","3","± 5"
"Glens Falls, NY Metro Area","41","± 46"
"Goldsboro, NC Metro Area","0","± 32"
"Grand Forks, ND-MN Metro Area","0","± 30"
"Grand Island, NE Metro Area","22","± 25"
"Grand Junction, CO Metro Area","38","± 61"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","418","± 150"
"Grants Pass, OR Metro Area","91","± 96"
"Great Falls, MT Metro Area","0","± 26"
"Greeley, CO Metro Area","155","± 80"
"Green Bay, WI Metro Area","55","± 52"
"Greensboro-High Point, NC Metro Area","206","± 100"
"Greenville, NC Metro Area","0","± 32"
"Greenville-Anderson-Greer, SC Metro Area","300","± 156"
"Guayama, PR Metro Area","0","± 35"
"Gulfport-Biloxi, MS Metro Area","68","± 83"
"Hagerstown-Martinsburg, MD-WV Metro Area","224","± 304"
"Hammond, LA Metro Area","13","± 28"
"Hanford-Corcoran, CA Metro Area","0","± 32"
"Harrisburg-Carlisle, PA Metro Area","230","± 122"
"Harrisonburg, VA Metro Area","0","± 31"
"Hartford-West Hartford-East Hartford, CT Metro Area","257","± 112"
"Hattiesburg, MS Metro Area","0","± 33"
"Helena, MT Metro Area","0","± 26"
"Hickory-Lenoir-Morganton, NC Metro Area","14","± 19"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","46","± 45"
"Hinesville, GA Metro Area","17","± 23"
"Homosassa Springs, FL Metro Area","8","± 15"
"Hot Springs, AR Metro Area","0","± 30"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","32","± 30"
"Houston-Pasadena-The Woodlands, TX Metro Area","5,759","± 1,016"
"Huntington-Ashland, WV-KY-OH Metro Area","32","± 37"
"Huntsville, AL Metro Area","59","± 41"
"Idaho Falls, ID Metro Area","42","± 36"
"Indianapolis-Carmel-Greenwood, IN Metro Area","664","± 236"
"Iowa City, IA Metro Area","24","± 26"
"Ithaca, NY Metro Area","0","± 31"
"Jackson, MI Metro Area","0","± 26"
"Jackson, MS Metro Area","32","± 29"
"Jackson, TN Metro Area","39","± 47"
"Jacksonville, FL Metro Area","415","± 197"
"Jacksonville, NC Metro Area","18","± 29"
"Janesville-Beloit, WI Metro Area","69","± 55"
"Jefferson City, MO Metro Area","18","± 26"
"Johnson City, TN Metro Area","0","± 32"
"Johnstown, PA Metro Area","6","± 5"
"Jonesboro, AR Metro Area","45","± 52"
"Joplin, MO-KS Metro Area","17","± 26"
"Kahului-Wailuku, HI Metro Area","16","± 19"
"Kalamazoo-Portage, MI Metro Area","68","± 54"
"Kankakee, IL Metro Area","22","± 31"
"Kansas City, MO-KS Metro Area","497","± 130"
"Kennewick-Richland, WA Metro Area","0","± 31"
"Kenosha, WI Metro Area","50","± 59"
"Killeen-Temple, TX Metro Area","114","± 113"
"Kingsport-Bristol, TN-VA Metro Area","145","± 166"
"Kingston, NY Metro Area","118","± 116"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","182","± 101"
"Knoxville, TN Metro Area","300","± 184"
"Kokomo, IN Metro Area","4","± 6"
"La Crosse-Onalaska, WI-MN Metro Area","3","± 3"
"Lafayette, LA Metro Area","125","± 88"
"Lafayette-West Lafayette, IN Metro Area","0","± 30"
"Lake Charles, LA Metro Area","7","± 26"
"Lake Havasu City-Kingman, AZ Metro Area","22","± 29"
"Lakeland-Winter Haven, FL Metro Area","99","± 94"
"Lancaster, PA Metro Area","212","± 131"
"Lansing-East Lansing, MI Metro Area","37","± 61"
"Laredo, TX Metro Area","0","± 35"
"Las Cruces, NM Metro Area","8","± 15"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","633","± 203"
"Lawrence, KS Metro Area","0","± 27"
"Lawton, OK Metro Area","6","± 8"
"Lebanon, PA Metro Area","50","± 36"
"Lewiston, ID-WA Metro Area","0","± 30"
"Lewiston-Auburn, ME Metro Area","31","± 27"
"Lexington-Fayette, KY Metro Area","206","± 178"
"Lexington Park, MD Metro Area","44","± 43"
"Lima, OH Metro Area","20","± 27"
"Lincoln, NE Metro Area","52","± 43"
"Little Rock-North Little Rock-Conway, AR Metro Area","189","± 151"
"Logan, UT-ID Metro Area","104","± 81"
"Longview, TX Metro Area","18","± 32"
"Longview-Kelso, WA Metro Area","0","± 31"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","3,184","± 447"
"Louisville/Jefferson County, KY-IN Metro Area","310","± 107"
"Lubbock, TX Metro Area","122","± 86"
"Lynchburg, VA Metro Area","0","± 31"
"Macon-Bibb County, GA Metro Area","11","± 22"
"Madison, WI Metro Area","410","± 184"
"Manchester-Nashua, NH Metro Area","135","± 78"
"Manhattan, KS Metro Area","0","± 27"
"Mankato, MN Metro Area","24","± 23"
"Mansfield, OH Metro Area","0","± 30"
"Mayagüez, PR Metro Area","10","± 15"
"McAllen-Edinburg-Mission, TX Metro Area","54","± 47"
"Medford, OR Metro Area","31","± 31"
"Memphis, TN-MS-AR Metro Area","397","± 205"
"Merced, CA Metro Area","0","± 32"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","1,655","± 314"
"Michigan City-La Porte, IN Metro Area","0","± 30"
"Midland, MI Metro Area","0","± 26"
"Midland, TX Metro Area","87","± 71"
"Milwaukee-Waukesha, WI Metro Area","800","± 227"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","2,268","± 360"
"Minot, ND Metro Area","8","± 13"
"Missoula, MT Metro Area","15","± 25"
"Mobile, AL Metro Area","12","± 15"
"Modesto, CA Metro Area","28","± 30"
"Monroe, LA Metro Area","56","± 76"
"Monroe, MI Metro Area","0","± 26"
"Montgomery, AL Metro Area","11","± 14"
"Morgantown, WV Metro Area","0","± 30"
"Morristown, TN Metro Area","0","± 32"
"Mount Vernon-Anacortes, WA Metro Area","16","± 16"
"Muncie, IN Metro Area","0","± 30"
"Muskegon-Norton Shores, MI Metro Area","4","± 6"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","0","± 33"
"Napa, CA Metro Area","2","± 4"
"Naples-Marco Island, FL Metro Area","119","± 129"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","1,905","± 457"
"New Haven, CT Metro Area","82","± 64"
"New Orleans-Metairie, LA Metro Area","215","± 94"
"New York-Newark-Jersey City, NY-NJ Metro Area","6,805","± 669"
"Niles, MI Metro Area","51","± 48"
"North Port-Bradenton-Sarasota, FL Metro Area","335","± 144"
"Norwich-New London-Willimantic, CT Metro Area","19","± 22"
"Ocala, FL Metro Area","91","± 67"
"Odessa, TX Metro Area","33","± 38"
"Ogden, UT Metro Area","167","± 82"
"Oklahoma City, OK Metro Area","409","± 156"
"Olympia-Lacey-Tumwater, WA Metro Area","18","± 26"
"Omaha, NE-IA Metro Area","353","± 123"
"Orlando-Kissimmee-Sanford, FL Metro Area","1,153","± 405"
"Oshkosh-Neenah, WI Metro Area","31","± 22"
"Owensboro, KY Metro Area","0","± 30"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","146","± 101"
"Paducah, KY-IL Metro Area","0","± 30"
"Palm Bay-Melbourne-Titusville, FL Metro Area","315","± 178"
"Panama City-Panama City Beach, FL Metro Area","12","± 22"
"Parkersburg-Vienna, WV Metro Area","12","± 21"
"Pensacola-Ferry Pass-Brent, FL Metro Area","18","± 30"
"Peoria, IL Metro Area","250","± 163"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","2,421","± 383"
"Phoenix-Mesa-Chandler, AZ Metro Area","1,967","± 350"
"Pinehurst-Southern Pines, NC Metro Area","71","± 84"
"Pittsburgh, PA Metro Area","695","± 175"
"Pittsfield, MA Metro Area","88","± 85"
"Pocatello, ID Metro Area","17","± 29"
"Ponce, PR Metro Area","0","± 35"
"Portland-South Portland, ME Metro Area","94","± 70"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","1,175","± 386"
"Port St. Lucie, FL Metro Area","216","± 128"
"Prescott Valley-Prescott, AZ Metro Area","38","± 43"
"Providence-Warwick, RI-MA Metro Area","514","± 152"
"Provo-Orem-Lehi, UT Metro Area","302","± 131"
"Pueblo, CO Metro Area","37","± 44"
"Punta Gorda, FL Metro Area","0","± 35"
"Racine-Mount Pleasant, WI Metro Area","32","± 27"
"Raleigh-Cary, NC Metro Area","338","± 129"
"Rapid City, SD Metro Area","52","± 49"
"Reading, PA Metro Area","213","± 177"
"Redding, CA Metro Area","29","± 28"
"Reno, NV Metro Area","73","± 52"
"Richmond, VA Metro Area","307","± 131"
"Riverside-San Bernardino-Ontario, CA Metro Area","492","± 167"
"Roanoke, VA Metro Area","16","± 26"
"Rochester, MN Metro Area","31","± 33"
"Rochester, NY Metro Area","327","± 101"
"Rockford, IL Metro Area","34","± 34"
"Rocky Mount, NC Metro Area","72","± 97"
"Rome, GA Metro Area","7","± 12"
"Sacramento-Roseville-Folsom, CA Metro Area","746","± 176"
"Saginaw, MI Metro Area","0","± 26"
"St. Cloud, MN Metro Area","76","± 89"
"St. George, UT Metro Area","101","± 55"
"St. Joseph, MO-KS Metro Area","2","± 3"
"St. Louis, MO-IL Metro Area","1,559","± 306"
"Salem, OR Metro Area","90","± 50"
"Salinas, CA Metro Area","30","± 26"
"Salisbury, MD Metro Area","0","± 32"
"Salt Lake City-Murray, UT Metro Area","325","± 105"
"San Angelo, TX Metro Area","0","± 35"
"San Antonio-New Braunfels, TX Metro Area","845","± 261"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","1,263","± 270"
"Sandusky, OH Metro Area","0","± 30"
"San Francisco-Oakland-Fremont, CA Metro Area","2,164","± 327"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","1,424","± 344"
"San Juan-Bayamón-Caguas, PR Metro Area","200","± 125"
"San Luis Obispo-Paso Robles, CA Metro Area","95","± 75"
"Santa Cruz-Watsonville, CA Metro Area","1","± 4"
"Santa Fe, NM Metro Area","0","± 31"
"Santa Maria-Santa Barbara, CA Metro Area","184","± 204"
"Santa Rosa-Petaluma, CA Metro Area","38","± 37"
"Savannah, GA Metro Area","174","± 180"
"Scranton--Wilkes-Barre, PA Metro Area","98","± 50"
"Seattle-Tacoma-Bellevue, WA Metro Area","1,980","± 330"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","8","± 13"
"Sebring, FL Metro Area","0","± 35"
"Sheboygan, WI Metro Area","47","± 62"
"Sherman-Denison, TX Metro Area","10","± 14"
"Shreveport-Bossier City, LA Metro Area","0","± 33"
"Sierra Vista-Douglas, AZ Metro Area","0","± 33"
"Sioux City, IA-NE-SD Metro Area","40","± 39"
"Sioux Falls, SD-MN Metro Area","132","± 68"
"Slidell-Mandeville-Covington, LA Metro Area","75","± 69"
"South Bend-Mishawaka, IN-MI Metro Area","10","± 13"
"Spartanburg, SC Metro Area","15","± 16"
"Spokane-Spokane Valley, WA Metro Area","156","± 101"
"Springfield, IL Metro Area","14","± 21"
"Springfield, MA Metro Area","37","± 38"
"Springfield, MO Metro Area","101","± 71"
"Springfield, OH Metro Area","43","± 64"
"State College, PA Metro Area","0","± 27"
"Staunton-Stuarts Draft, VA Metro Area","15","± 23"
"Stockton-Lodi, CA Metro Area","99","± 74"
"Sumter, SC Metro Area","34","± 60"
"Syracuse, NY Metro Area","127","± 66"
"Tallahassee, FL Metro Area","29","± 31"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","1,248","± 305"
"Terre Haute, IN Metro Area","48","± 47"
"Texarkana, TX-AR Metro Area","0","± 30"
"Toledo, OH Metro Area","320","± 115"
"Topeka, KS Metro Area","43","± 73"
"Traverse City, MI Metro Area","24","± 35"
"Trenton-Princeton, NJ Metro Area","132","± 71"
"Tucson, AZ Metro Area","85","± 72"
"Tulsa, OK Metro Area","410","± 121"
"Tuscaloosa, AL Metro Area","15","± 20"
"Twin Falls, ID Metro Area","0","± 29"
"Tyler, TX Metro Area","29","± 44"
"Urban Honolulu, HI Metro Area","213","± 127"
"Utica-Rome, NY Metro Area","11","± 15"
"Valdosta, GA Metro Area","0","± 34"
"Vallejo, CA Metro Area","62","± 55"
"Victoria, TX Metro Area","12","± 24"
"Vineland, NJ Metro Area","0","± 32"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","201","± 79"
"Visalia, CA Metro Area","12","± 18"
"Waco, TX Metro Area","57","± 62"
"Walla Walla, WA Metro Area","21","± 35"
"Warner Robins, GA Metro Area","0","± 34"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","2,334","± 339"
"Waterbury-Shelton, CT Metro Area","70","± 54"
"Waterloo-Cedar Falls, IA Metro Area","20","± 21"
"Watertown-Fort Drum, NY Metro Area","17","± 21"
"Wausau, WI Metro Area","0","± 23"
"Weirton-Steubenville, WV-OH Metro Area","4","± 7"
"Wenatchee-East Wenatchee, WA Metro Area","0","± 31"
"Wheeling, WV-OH Metro Area","27","± 38"
"Wichita, KS Metro Area","315","± 127"
"Wichita Falls, TX Metro Area","52","± 48"
"Wildwood-The Villages, FL Metro Area","12","± 18"
"Williamsport, PA Metro Area","8","± 9"
"Wilmington, NC Metro Area","98","± 95"
"Winchester, VA-WV Metro Area","13","± 22"
"Winston-Salem, NC Metro Area","189","± 99"
"Worcester, MA Metro Area","265","± 113"
"Yakima, WA Metro Area","0","± 31"
"York-Hanover, PA Metro Area","81","± 55"
"Youngstown-Warren, OH Metro Area","40","± 53"
"Yuba City, CA Metro Area","0","± 32"
"Yuma, AZ Metro Area","118","± 96"