"Region","Total:","MoE"
"Abilene, TX Metro Area","83,512","± 1,427"
"Aguadilla, PR Metro Area","75,170","± 2,218"
"Akron, OH Metro Area","345,459","± 2,542"
"Albany, GA Metro Area","59,585","± 1,315"
"Albany, OR Metro Area","57,548","± 1,033"
"Albany-Schenectady-Troy, NY Metro Area","446,685","± 2,935"
"Albuquerque, NM Metro Area","425,556","± 2,991"
"Alexandria, LA Metro Area","61,592","± 1,528"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","421,007","± 2,945"
"Altoona, PA Metro Area","55,495","± 1,055"
"Amarillo, TX Metro Area","125,793","± 1,535"
"Ames, IA Metro Area","64,841","± 1,323"
"Amherst Town-Northampton, MA Metro Area","76,989","± 1,338"
"Anchorage, AK Metro Area","195,777","± 3,077"
"Ann Arbor, MI Metro Area","182,797","± 1,981"
"Anniston-Oxford, AL Metro Area","48,427","± 972"
"Appleton, WI Metro Area","129,877","± 1,269"
"Arecibo, PR Metro Area","57,020","± 1,681"
"Asheville, NC Metro Area","192,619","± 2,456"
"Athens-Clarke County, GA Metro Area","103,807","± 1,681"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","3,052,086","± 11,101"
"Atlantic City-Hammonton, NJ Metro Area","170,044","± 2,209"
"Auburn-Opelika, AL Metro Area","88,995","± 1,837"
"Augusta-Richmond County, GA-SC Metro Area","276,884","± 3,296"
"Austin-Round Rock-San Marcos, TX Metro Area","1,272,236","± 7,054"
"Bakersfield-Delano, CA Metro Area","353,983","± 3,657"
"Baltimore-Columbia-Towson, MD Metro Area","1,425,759","± 5,410"
"Bangor, ME Metro Area","72,714","± 1,142"
"Barnstable Town, MA Metro Area","111,039","± 1,662"
"Baton Rouge, LA Metro Area","394,252","± 4,062"
"Battle Creek, MI Metro Area","57,707","± 940"
"Bay City, MI Metro Area","47,222","± 888"
"Beaumont-Port Arthur, TX Metro Area","163,843","± 2,236"
"Beckley, WV Metro Area","41,041","± 1,534"
"Bellingham, WA Metro Area","111,136","± 1,606"
"Bend, OR Metro Area","120,483","± 1,921"
"Billings, MT Metro Area","93,219","± 1,445"
"Binghamton, NY Metro Area","105,772","± 1,662"
"Birmingham, AL Metro Area","538,805","± 4,533"
"Bismarck, ND Metro Area","69,448","± 1,037"
"Blacksburg-Christiansburg-Radford, VA Metro Area","83,652","± 1,588"
"Bloomington, IL Metro Area","84,403","± 1,414"
"Bloomington, IN Metro Area","77,827","± 1,358"
"Boise City, ID Metro Area","388,128","± 2,886"
"Boston-Cambridge-Newton, MA-NH Metro Area","2,618,891","± 7,143"
"Boulder, CO Metro Area","174,585","± 1,765"
"Bowling Green, KY Metro Area","85,456","± 1,326"
"Bozeman, MT Metro Area","68,936","± 1,121"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","131,800","± 1,393"
"Bridgeport-Stamford-Danbury, CT Metro Area","474,955","± 3,716"
"Brownsville-Harlingen, TX Metro Area","170,465","± 2,071"
"Brunswick-St. Simons, GA Metro Area","48,007","± 1,451"
"Buffalo-Cheektowaga, NY Metro Area","552,754","± 3,477"
"Burlington, NC Metro Area","82,208","± 1,111"
"Burlington-South Burlington, VT Metro Area","123,135","± 1,559"
"Canton-Massillon, OH Metro Area","188,395","± 1,849"
"Cape Coral-Fort Myers, FL Metro Area","336,152","± 3,620"
"Cape Girardeau, MO-IL Metro Area","47,527","± 955"
"Carson City, NV Metro Area","26,634","± 549"
"Casper, WY Metro Area","39,736","± 847"
"Cedar Rapids, IA Metro Area","140,935","± 1,704"
"Chambersburg, PA Metro Area","73,658","± 1,224"
"Champaign-Urbana, IL Metro Area","112,769","± 1,618"
"Charleston, WV Metro Area","85,429","± 1,581"
"Charleston-North Charleston, SC Metro Area","410,326","± 3,166"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","1,358,636","± 6,134"
"Charlottesville, VA Metro Area","109,211","± 1,494"
"Chattanooga, TN-GA Metro Area","268,098","± 2,731"
"Cheyenne, WY Metro Area","50,586","± 931"
"Chicago-Naperville-Elgin, IL-IN Metro Area","4,625,828","± 11,159"
"Chico, CA Metro Area","90,852","± 1,597"
"Cincinnati, OH-KY-IN Metro Area","1,106,616","± 4,862"
"Clarksville, TN-KY Metro Area","148,720","± 1,936"
"Cleveland, OH Metro Area","1,040,354","± 4,603"
"Cleveland, TN Metro Area","57,789","± 1,310"
"Coeur d'Alene, ID Metro Area","81,868","± 1,346"
"College Station-Bryan, TX Metro Area","129,653","± 1,770"
"Colorado Springs, CO Metro Area","386,109","± 2,819"
"Columbia, MO Metro Area","107,821","± 1,482"
"Columbia, SC Metro Area","400,718","± 3,249"
"Columbus, GA-AL Metro Area","140,282","± 1,943"
"Columbus, IN Metro Area","40,985","± 895"
"Columbus, OH Metro Area","1,085,993","± 5,046"
"Corpus Christi, TX Metro Area","198,267","± 2,447"
"Corvallis, OR Metro Area","46,041","± 1,221"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","141,849","± 1,973"
"Dallas-Fort Worth-Arlington, TX Metro Area","3,936,306","± 10,257"
"Dalton, GA Metro Area","65,894","± 1,323"
"Daphne-Fairhope-Foley, AL Metro Area","108,241","± 2,006"
"Davenport-Moline-Rock Island, IA-IL Metro Area","180,889","± 1,490"
"Dayton-Kettering-Beavercreek, OH Metro Area","383,258","± 3,067"
"Decatur, AL Metro Area","68,296","± 1,395"
"Decatur, IL Metro Area","43,087","± 1,028"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","295,819","± 2,961"
"Denver-Aurora-Centennial, CO Metro Area","1,631,213","± 5,359"
"Des Moines-West Des Moines, IA Metro Area","375,912","± 2,823"
"Detroit-Warren-Dearborn, MI Metro Area","2,019,337","± 6,793"
"Dothan, AL Metro Area","64,237","± 950"
"Dover, DE Metro Area","84,552","± 1,407"
"Dubuque, IA Metro Area","50,797","± 956"
"Duluth, MN-WI Metro Area","134,181","± 1,094"
"Durham-Chapel Hill, NC Metro Area","296,742","± 2,727"
"Eagle Pass, TX Metro Area","21,985","± 754"
"Eau Claire, WI Metro Area","89,657","± 1,096"
"El Centro, CA Metro Area","60,149","± 1,591"
"Elizabethtown, KY Metro Area","57,120","± 1,045"
"Elkhart-Goshen, IN Metro Area","96,409","± 1,534"
"Elmira, NY Metro Area","35,592","± 766"
"El Paso, TX Metro Area","382,507","± 3,707"
"Enid, OK Metro Area","28,829","± 654"
"Erie, PA Metro Area","120,718","± 1,454"
"Eugene-Springfield, OR Metro Area","178,882","± 2,384"
"Evansville, IN Metro Area","131,577","± 1,462"
"Fairbanks-College, AK Metro Area","48,007","± 2,309"
"Fargo, ND-MN Metro Area","142,797","± 1,484"
"Farmington, NM Metro Area","45,053","± 1,228"
"Fayetteville, NC Metro Area","177,365","± 1,482"
"Fayetteville-Springdale-Rogers, AR Metro Area","275,393","± 2,749"
"Flagstaff, AZ Metro Area","66,959","± 1,197"
"Flint, MI Metro Area","170,158","± 2,303"
"Florence, SC Metro Area","85,431","± 1,447"
"Florence-Muscle Shoals, AL Metro Area","68,263","± 1,456"
"Fond du Lac, WI Metro Area","52,424","± 980"
"Fort Collins-Loveland, CO Metro Area","192,586","± 1,965"
"Fort Smith, AR-OK Metro Area","97,047","± 1,452"
"Fort Wayne, IN Metro Area","218,280","± 1,566"
"Fresno, CA Metro Area","471,606","± 3,687"
"Gadsden, AL Metro Area","42,546","± 1,250"
"Gainesville, FL Metro Area","156,820","± 2,501"
"Gainesville, GA Metro Area","98,823","± 1,335"
"Gettysburg, PA Metro Area","51,458","± 944"
"Glens Falls, NY Metro Area","59,387","± 974"
"Goldsboro, NC Metro Area","52,477","± 1,323"
"Grand Forks, ND-MN Metro Area","54,798","± 889"
"Grand Island, NE Metro Area","37,823","± 691"
"Grand Junction, CO Metro Area","73,286","± 1,475"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","577,472","± 3,262"
"Grants Pass, OR Metro Area","32,729","± 956"
"Great Falls, MT Metro Area","40,658","± 858"
"Greeley, CO Metro Area","171,591","± 1,536"
"Green Bay, WI Metro Area","169,486","± 1,602"
"Greensboro-High Point, NC Metro Area","366,508","± 3,827"
"Greenville, NC Metro Area","80,556","± 1,618"
"Greenville-Anderson-Greer, SC Metro Area","443,371","± 3,581"
"Guayama, PR Metro Area","18,083","± 1,017"
"Gulfport-Biloxi, MS Metro Area","182,751","± 2,406"
"Hagerstown-Martinsburg, MD-WV Metro Area","140,985","± 1,580"
"Hammond, LA Metro Area","57,218","± 1,630"
"Hanford-Corcoran, CA Metro Area","57,406","± 1,452"
"Harrisburg-Carlisle, PA Metro Area","292,876","± 2,351"
"Harrisonburg, VA Metro Area","65,335","± 1,096"
"Hartford-West Hartford-East Hartford, CT Metro Area","577,598","± 3,620"
"Hattiesburg, MS Metro Area","70,095","± 1,431"
"Helena, MT Metro Area","44,915","± 1,059"
"Hickory-Lenoir-Morganton, NC Metro Area","166,033","± 2,408"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","99,403","± 1,644"
"Hinesville, GA Metro Area","37,598","± 893"
"Homosassa Springs, FL Metro Area","50,070","± 1,484"
"Hot Springs, AR Metro Area","41,478","± 1,131"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","86,453","± 1,824"
"Houston-Pasadena-The Woodlands, TX Metro Area","3,424,978","± 10,418"
"Huntington-Ashland, WV-KY-OH Metro Area","151,192","± 1,975"
"Huntsville, AL Metro Area","244,909","± 2,668"
"Idaho Falls, ID Metro Area","72,698","± 1,179"
"Indianapolis-Carmel-Greenwood, IN Metro Area","1,054,012","± 5,298"
"Iowa City, IA Metro Area","95,312","± 1,167"
"Ithaca, NY Metro Area","48,359","± 1,005"
"Jackson, MI Metro Area","68,591","± 1,209"
"Jackson, MS Metro Area","269,947","± 2,877"
"Jackson, TN Metro Area","78,482","± 1,090"
"Jacksonville, FL Metro Area","788,403","± 4,618"
"Jacksonville, NC Metro Area","107,738","± 1,538"
"Janesville-Beloit, WI Metro Area","80,513","± 1,000"
"Jefferson City, MO Metro Area","70,747","± 974"
"Johnson City, TN Metro Area","93,024","± 1,665"
"Johnstown, PA Metro Area","55,930","± 883"
"Jonesboro, AR Metro Area","59,356","± 1,227"
"Joplin, MO-KS Metro Area","92,377","± 1,436"
"Kahului-Wailuku, HI Metro Area","78,956","± 1,384"
"Kalamazoo-Portage, MI Metro Area","129,694","± 1,667"
"Kankakee, IL Metro Area","48,833","± 1,004"
"Kansas City, MO-KS Metro Area","1,114,320","± 4,189"
"Kennewick-Richland, WA Metro Area","136,426","± 2,081"
"Kenosha, WI Metro Area","85,251","± 1,312"
"Killeen-Temple, TX Metro Area","216,410","± 2,327"
"Kingsport-Bristol, TN-VA Metro Area","128,974","± 1,797"
"Kingston, NY Metro Area","83,363","± 1,589"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","329,881","± 2,983"
"Knoxville, TN Metro Area","431,365","± 3,162"
"Kokomo, IN Metro Area","36,132","± 1,052"
"La Crosse-Onalaska, WI-MN Metro Area","86,454","± 1,031"
"Lafayette, LA Metro Area","185,306","± 2,485"
"Lafayette-West Lafayette, IN Metro Area","108,022","± 1,734"
"Lake Charles, LA Metro Area","105,728","± 2,126"
"Lake Havasu City-Kingman, AZ Metro Area","74,577","± 1,556"
"Lakeland-Winter Haven, FL Metro Area","328,520","± 2,780"
"Lancaster, PA Metro Area","274,831","± 2,302"
"Lansing-East Lansing, MI Metro Area","229,821","± 2,169"
"Laredo, TX Metro Area","112,098","± 1,726"
"Las Cruces, NM Metro Area","93,031","± 1,643"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","1,057,051","± 5,570"
"Lawrence, KS Metro Area","65,386","± 1,115"
"Lawton, OK Metro Area","55,913","± 964"
"Lebanon, PA Metro Area","68,222","± 1,095"
"Lewiston, ID-WA Metro Area","29,137","± 898"
"Lewiston-Auburn, ME Metro Area","54,870","± 870"
"Lexington-Fayette, KY Metro Area","257,220","± 2,404"
"Lexington Park, MD Metro Area","106,850","± 1,332"
"Lima, OH Metro Area","45,166","± 933"
"Lincoln, NE Metro Area","181,496","± 1,558"
"Little Rock-North Little Rock-Conway, AR Metro Area","350,783","± 3,627"
"Logan, UT-ID Metro Area","74,374","± 946"
"Longview, TX Metro Area","125,726","± 1,601"
"Longview-Kelso, WA Metro Area","45,526","± 1,119"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","6,267,171","± 12,900"
"Louisville/Jefferson County, KY-IN Metro Area","664,507","± 3,522"
"Lubbock, TX Metro Area","169,568","± 2,128"
"Lynchburg, VA Metro Area","120,806","± 1,781"
"Macon-Bibb County, GA Metro Area","97,443","± 1,978"
"Madison, WI Metro Area","377,365","± 2,808"
"Manchester-Nashua, NH Metro Area","234,675","± 1,882"
"Manhattan, KS Metro Area","70,594","± 1,297"
"Mankato, MN Metro Area","55,456","± 790"
"Mansfield, OH Metro Area","53,351","± 1,277"
"Mayagüez, PR Metro Area","61,552","± 1,728"
"McAllen-Edinburg-Mission, TX Metro Area","336,737","± 3,403"
"Medford, OR Metro Area","96,733","± 1,647"
"Memphis, TN-MS-AR Metro Area","612,718","± 4,242"
"Merced, CA Metro Area","107,310","± 1,786"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","2,991,554","± 9,369"
"Michigan City-La Porte, IN Metro Area","48,610","± 992"
"Midland, MI Metro Area","37,465","± 851"
"Midland, TX Metro Area","86,822","± 1,525"
"Milwaukee-Waukesha, WI Metro Area","781,868","± 3,806"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","1,954,889","± 6,151"
"Minot, ND Metro Area","40,432","± 742"
"Missoula, MT Metro Area","67,235","± 1,050"
"Mobile, AL Metro Area","176,096","± 2,040"
"Modesto, CA Metro Area","232,981","± 2,454"
"Monroe, LA Metro Area","91,527","± 1,767"
"Monroe, MI Metro Area","70,195","± 1,432"
"Montgomery, AL Metro Area","167,579","± 2,262"
"Morgantown, WV Metro Area","67,108","± 1,276"
"Morristown, TN Metro Area","52,753","± 1,541"
"Mount Vernon-Anacortes, WA Metro Area","57,236","± 999"
"Muncie, IN Metro Area","51,255","± 1,007"
"Muskegon-Norton Shores, MI Metro Area","75,943","± 1,312"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","157,965","± 2,547"
"Napa, CA Metro Area","66,491","± 1,067"
"Naples-Marco Island, FL Metro Area","160,079","± 2,778"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","1,059,294","± 4,567"
"New Haven, CT Metro Area","281,598","± 2,383"
"New Orleans-Metairie, LA Metro Area","451,862","± 3,910"
"New York-Newark-Jersey City, NY-NJ Metro Area","9,489,184","± 18,583"
"Niles, MI Metro Area","68,567","± 1,333"
"North Port-Bradenton-Sarasota, FL Metro Area","359,490","± 3,469"
"Norwich-New London-Willimantic, CT Metro Area","137,307","± 1,757"
"Ocala, FL Metro Area","145,278","± 2,451"
"Odessa, TX Metro Area","74,383","± 1,539"
"Ogden, UT Metro Area","322,519","± 2,200"
"Oklahoma City, OK Metro Area","692,848","± 4,037"
"Olympia-Lacey-Tumwater, WA Metro Area","138,579","± 1,882"
"Omaha, NE-IA Metro Area","503,489","± 2,778"
"Orlando-Kissimmee-Sanford, FL Metro Area","1,336,329","± 6,276"
"Oshkosh-Neenah, WI Metro Area","89,398","± 1,065"
"Owensboro, KY Metro Area","50,612","± 1,026"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","400,619","± 3,138"
"Paducah, KY-IL Metro Area","44,854","± 910"
"Palm Bay-Melbourne-Titusville, FL Metro Area","276,134","± 2,802"
"Panama City-Panama City Beach, FL Metro Area","96,823","± 1,387"
"Parkersburg-Vienna, WV Metro Area","37,221","± 932"
"Pensacola-Ferry Pass-Brent, FL Metro Area","235,262","± 2,388"
"Peoria, IL Metro Area","167,557","± 1,633"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","3,063,340","± 8,641"
"Phoenix-Mesa-Chandler, AZ Metro Area","2,365,018","± 7,466"
"Pinehurst-Southern Pines, NC Metro Area","44,627","± 1,139"
"Pittsburgh, PA Metro Area","1,187,922","± 5,166"
"Pittsfield, MA Metro Area","61,236","± 1,214"
"Pocatello, ID Metro Area","39,756","± 845"
"Ponce, PR Metro Area","78,881","± 1,868"
"Portland-South Portland, ME Metro Area","296,406","± 2,540"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","1,273,055","± 4,969"
"Port St. Lucie, FL Metro Area","216,730","± 2,956"
"Prescott Valley-Prescott, AZ Metro Area","94,528","± 1,849"
"Providence-Warwick, RI-MA Metro Area","828,917","± 5,654"
"Provo-Orem-Lehi, UT Metro Area","337,032","± 2,242"
"Pueblo, CO Metro Area","70,535","± 1,352"
"Punta Gorda, FL Metro Area","68,396","± 1,610"
"Racine-Mount Pleasant, WI Metro Area","94,049","± 1,303"
"Raleigh-Cary, NC Metro Area","745,571","± 3,973"
"Rapid City, SD Metro Area","75,356","± 1,196"
"Reading, PA Metro Area","207,060","± 1,950"
"Redding, CA Metro Area","74,434","± 1,458"
"Reno, NV Metro Area","273,788","± 2,274"
"Richmond, VA Metro Area","672,701","± 3,671"
"Riverside-San Bernardino-Ontario, CA Metro Area","2,016,055","± 7,678"
"Roanoke, VA Metro Area","145,575","± 1,834"
"Rochester, MN Metro Area","118,107","± 1,193"
"Rochester, NY Metro Area","507,585","± 2,899"
"Rockford, IL Metro Area","150,837","± 1,667"
"Rocky Mount, NC Metro Area","62,178","± 1,458"
"Rome, GA Metro Area","43,139","± 991"
"Sacramento-Roseville-Folsom, CA Metro Area","1,107,540","± 6,200"
"Saginaw, MI Metro Area","79,636","± 1,236"
"St. Cloud, MN Metro Area","103,837","± 1,162"
"St. George, UT Metro Area","81,081","± 1,499"
"St. Joseph, MO-KS Metro Area","54,381","± 926"
"St. Louis, MO-IL Metro Area","1,392,032","± 5,525"
"Salem, OR Metro Area","196,707","± 1,894"
"Salinas, CA Metro Area","187,975","± 1,860"
"Salisbury, MD Metro Area","59,979","± 1,296"
"Salt Lake City-Murray, UT Metro Area","663,076","± 3,691"
"San Angelo, TX Metro Area","57,424","± 1,015"
"San Antonio-New Braunfels, TX Metro Area","1,240,234","± 6,443"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","1,627,877","± 5,785"
"Sandusky, OH Metro Area","53,790","± 1,090"
"San Francisco-Oakland-Fremont, CA Metro Area","2,369,040","± 6,582"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","1,002,398","± 4,323"
"San Juan-Bayamón-Caguas, PR Metro Area","733,476","± 4,869"
"San Luis Obispo-Paso Robles, CA Metro Area","128,498","± 1,974"
"Santa Cruz-Watsonville, CA Metro Area","128,338","± 1,721"
"Santa Fe, NM Metro Area","71,182","± 1,350"
"Santa Maria-Santa Barbara, CA Metro Area","202,844","± 2,328"
"Santa Rosa-Petaluma, CA Metro Area","239,742","± 2,650"
"Savannah, GA Metro Area","197,461","± 2,132"
"Scranton--Wilkes-Barre, PA Metro Area","261,993","± 2,456"
"Seattle-Tacoma-Bellevue, WA Metro Area","2,088,562","± 6,841"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","64,352","± 1,629"
"Sebring, FL Metro Area","35,159","± 1,179"
"Sheboygan, WI Metro Area","60,105","± 980"
"Sherman-Denison, TX Metro Area","65,400","± 1,266"
"Shreveport-Bossier City, LA Metro Area","161,822","± 2,343"
"Sierra Vista-Douglas, AZ Metro Area","46,037","± 1,198"
"Sioux City, IA-NE-SD Metro Area","70,744","± 973"
"Sioux Falls, SD-MN Metro Area","161,047","± 1,466"
"Slidell-Mandeville-Covington, LA Metro Area","123,646","± 2,223"
"South Bend-Mishawaka, IN-MI Metro Area","150,543","± 1,683"
"Spartanburg, SC Metro Area","166,353","± 1,910"
"Spokane-Spokane Valley, WA Metro Area","267,335","± 2,430"
"Springfield, IL Metro Area","96,252","± 1,316"
"Springfield, MA Metro Area","211,328","± 2,393"
"Springfield, MO Metro Area","226,248","± 2,257"
"Springfield, OH Metro Area","58,720","± 1,052"
"State College, PA Metro Area","71,784","± 1,311"
"Staunton-Stuarts Draft, VA Metro Area","60,196","± 1,151"
"Stockton-Lodi, CA Metro Area","331,583","± 3,025"
"Sumter, SC Metro Area","44,507","± 1,155"
"Syracuse, NY Metro Area","307,996","± 2,646"
"Tallahassee, FL Metro Area","186,170","± 2,612"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","1,532,330","± 6,077"
"Terre Haute, IN Metro Area","73,758","± 1,310"
"Texarkana, TX-AR Metro Area","59,316","± 1,203"
"Toledo, OH Metro Area","282,297","± 2,694"
"Topeka, KS Metro Area","109,999","± 1,555"
"Traverse City, MI Metro Area","73,118","± 1,019"
"Trenton-Princeton, NJ Metro Area","180,923","± 2,082"
"Tucson, AZ Metro Area","467,776","± 3,775"
"Tulsa, OK Metro Area","476,447","± 2,456"
"Tuscaloosa, AL Metro Area","122,885","± 2,124"
"Twin Falls, ID Metro Area","53,962","± 1,049"
"Tyler, TX Metro Area","107,752","± 1,493"
"Urban Honolulu, HI Metro Area","498,111","± 3,133"
"Utica-Rome, NY Metro Area","126,891","± 1,641"
"Valdosta, GA Metro Area","65,726","± 1,512"
"Vallejo, CA Metro Area","206,848","± 2,173"
"Victoria, TX Metro Area","44,202","± 992"
"Vineland, NJ Metro Area","61,511","± 1,149"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","894,564","± 3,858"
"Visalia, CA Metro Area","186,521","± 2,506"
"Waco, TX Metro Area","133,748","± 1,631"
"Walla Walla, WA Metro Area","27,673","± 749"
"Warner Robins, GA Metro Area","91,291","± 1,730"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","3,321,995","± 7,222"
"Waterbury-Shelton, CT Metro Area","224,094","± 2,356"
"Waterloo-Cedar Falls, IA Metro Area","84,035","± 1,146"
"Watertown-Fort Drum, NY Metro Area","54,621","± 842"
"Wausau, WI Metro Area","71,129","± 770"
"Weirton-Steubenville, WV-OH Metro Area","49,754","± 1,008"
"Wenatchee-East Wenatchee, WA Metro Area","57,082","± 1,286"
"Wheeling, WV-OH Metro Area","59,338","± 1,048"
"Wichita, KS Metro Area","308,985","± 2,690"
"Wichita Falls, TX Metro Area","71,755","± 1,365"
"Wildwood-The Villages, FL Metro Area","29,850","± 1,222"
"Williamsport, PA Metro Area","51,805","± 866"
"Wilmington, NC Metro Area","203,741","± 2,064"
"Winchester, VA-WV Metro Area","68,190","± 1,301"
"Winston-Salem, NC Metro Area","310,637","± 2,990"
"Worcester, MA Metro Area","433,641","± 3,416"
"Yakima, WA Metro Area","107,186","± 1,940"
"York-Hanover, PA Metro Area","227,795","± 2,199"
"Youngstown-Warren, OH Metro Area","184,634","± 2,003"
"Yuba City, CA Metro Area","75,611","± 1,505"
"Yuma, AZ Metro Area","78,578","± 1,392"